Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_1a06e459-df3f-4f3c-a69a-37db8d5989e3,0.0204,0.0242,0.0402,0.3272,0.0333,0.0204,0.0242,0.0402,0.3272,0.8899,0.8712
node2vec_mrr_ecc52596-7812-4ef8-8728-9ae537755aaa,0.0227,0.0346,0.0438,0.2653,0.0356,0.0227,0.0346,0.0438,0.2653,0.8849,0.8617
node2vec_mrr_f36aa977-d27a-4531-8501-ee17de885b61,0.0135,0.0242,0.0565,0.3631,0.0333,0.0135,0.0242,0.0565,0.3631,0.9029,0.8864
node2vec_mrr_62fe346a-11b4-4aca-a5fc-19a132d8c4d8,0.025,0.0298,0.0527,0.3939,0.0434,0.025,0.0298,0.0527,0.3939,0.9136,0.9001
node2vec_mrr_cf2d2692-1bd8-4710-8f67-fb2639ad5d57,0.0227,0.0278,0.0428,0.3259,0.0368,0.0227,0.0278,0.0428,0.3259,0.9028,0.8818
node2vec_mrr_534d15c4-6dee-49ec-a130-4d5b193300fe,0.0166,0.0303,0.0532,0.3682,0.0357,0.0166,0.0303,0.0532,0.3682,0.9088,0.8927
node2vec_mrr_73706051-697b-4794-8a20-a68e3a851357,0.0242,0.0438,0.0698,0.3563,0.0455,0.0242,0.0438,0.0698,0.3563,0.9145,0.898
node2vec_mrr_ed1a3afa-5a07-47f2-a2d3-2bff6595c249,0.0196,0.0596,0.0845,0.3175,0.0464,0.0196,0.0596,0.0845,0.3175,0.9068,0.8888
node2vec_mrr_4d41c92c-94a0-4616-9fe7-b991c24a3883,0.0318,0.0397,0.0899,0.2962,0.0515,0.0318,0.0397,0.0899,0.2962,0.9028,0.8855
node2vec_mrr_1dde09c5-6f5d-415a-9980-75a3bc93c09d,0.0339,0.0387,0.0537,0.3827,0.0508,0.0339,0.0387,0.0537,0.3827,0.9098,0.8976
node2vec_mrr_32802ff1-8460-4faf-9fb0-b495698f21da,0.0163,0.0667,0.1054,0.3672,0.0554,0.0163,0.0667,0.1054,0.3672,0.9184,0.9055
node2vec_mrr_60055186-88f7-4d34-8917-edbff3c21d51,0.0143,0.0507,0.0978,0.4337,0.0499,0.0143,0.0507,0.0978,0.4337,0.9307,0.9196
node2vec_mrr_9921cd8b-3a0f-46b1-b38d-29e2db30611d,0.0222,0.0438,0.0675,0.4092,0.0503,0.0222,0.0438,0.0675,0.4092,0.9284,0.9147
node2vec_mrr_430e9ab3-505e-4300-9b70-ce58c921b3bd,0.0502,0.0955,0.1574,0.3924,0.0884,0.0502,0.0955,0.1574,0.3924,0.9174,0.9097
node2vec_mrr_dbe34442-f236-4713-b34d-04a357d8f71d,0.0634,0.1133,0.2014,0.3774,0.1037,0.0634,0.1133,0.2014,0.3774,0.8787,0.8791
node2vec_mrr_77e51556-1b76-4862-a63d-a4a585f26322,0.0132,0.0443,0.1217,0.3675,0.0555,0.0132,0.0443,0.1217,0.3675,0.9188,0.907
node2vec_mrr_92117ab1-8292-4bf8-a60d-c975d0da3a73,0.0367,0.0469,0.1974,0.37,0.0772,0.0367,0.0469,0.1974,0.37,0.8561,0.861
node2vec_mrr_9b8501ca-0b4d-4c90-9c3e-4eae60020935,0.0565,0.0693,0.1115,0.3697,0.0789,0.0565,0.0693,0.1115,0.3697,0.9099,0.9
node2vec_mrr_13623a2f-f365-457e-858c-ec0a00aaadc7,0.0968,0.1604,0.2009,0.3934,0.1358,0.0968,0.1604,0.2009,0.3934,0.9131,0.9084
node2vec_mrr_bd66069f-a0c0-489c-a009-d7790175928a,0.0,0.0425,0.111,0.3402,0.0406,0.0,0.0425,0.111,0.3402,0.9072,0.8917
node2vec_mrr_431972cc-782c-4656-98f9-b37acebf37b6,0.0076,0.0542,0.137,0.3759,0.0495,0.0076,0.0542,0.137,0.3759,0.914,0.9022
node2vec_mrr_2c812ab8-7f83-44bf-8f3d-1b48b1589930,0.097,0.137,0.233,0.4433,0.1398,0.097,0.137,0.233,0.4433,0.9253,0.9216
node2vec_mrr_7a5e1bc9-e7d4-4a01-9eca-5c69f41ec158,0.0125,0.1225,0.217,0.4181,0.087,0.0125,0.1225,0.217,0.4181,0.9061,0.9039
node2vec_mrr_dc18cd34-a479-4047-bbab-dba8e6b16c94,0.0466,0.0932,0.1429,0.2552,0.0817,0.0466,0.0932,0.1429,0.2552,0.6746,0.7299
node2vec_mrr_c7cb15f8-b518-446b-b321-75fe6e73c156,0.0,0.0456,0.0922,0.3731,0.0347,0.0,0.0456,0.0922,0.3731,0.9158,0.9008
node2vec_mrr_4b2c36af-b477-4df5-9baa-c7fdb24b8e76,0.0166,0.0222,0.0509,0.3076,0.031,0.0166,0.0222,0.0509,0.3076,0.9038,0.8792
node2vec_mrr_d2191641-b6f9-4bb5-a155-c47e57d0be48,0.0214,0.0919,0.1637,0.4986,0.0793,0.0214,0.0919,0.1637,0.4986,0.9416,0.9347
node2vec_mrr_5f517216-c75a-4e2f-b23c-7e772f47b842,0.0104,0.0453,0.0761,0.3494,0.0399,0.0104,0.0453,0.0761,0.3494,0.9147,0.9
node2vec_mrr_6d643698-f69f-4158-aa76-3c54247f1fb2,0.0,0.0288,0.0634,0.358,0.0294,0.0,0.0288,0.0634,0.358,0.9118,0.8957
node2vec_mrr_0f4d23fa-766b-4af4-a40a-4a3c00baa4ba,0.0061,0.0272,0.0451,0.3415,0.0288,0.0061,0.0272,0.0451,0.3415,0.8982,0.8788
node2vec_mrr_9b86b60e-2837-4e51-9001-0c3e0a62bd52,0.121,0.1347,0.2213,0.4403,0.154,0.121,0.1347,0.2213,0.4403,0.9211,0.9177
node2vec_mrr_162516ba-7bba-442d-9955-69ef0ba623cf,0.0453,0.0754,0.179,0.4561,0.0873,0.0453,0.0754,0.179,0.4561,0.9351,0.9268
