Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_fa3a2fdf-ed64-4ed5-830f-b48915504060,0.0289,0.1981,0.4143,0.6882,0.1544,0.0289,0.1981,0.4143,0.6882,0.8393,0.8899
node2vec_mrr_dabd0c8f-2246-4312-9a09-0b520cdaecf3,0.1458,0.1963,0.421,0.7134,0.2249,0.1458,0.1963,0.421,0.7134,0.8032,0.8799
node2vec_mrr_9f929fb9-1392-4622-a8c6-89c252ef0dbe,0.0,0.2098,0.4702,0.7234,0.1565,0.0,0.2098,0.4702,0.7234,0.8043,0.8802
node2vec_mrr_7f1a628e-d72e-4096-a2f2-f6156778a155,0.0708,0.2879,0.4201,0.7256,0.187,0.0708,0.2879,0.4201,0.7256,0.8222,0.8893
node2vec_mrr_0c2b3a4d-6fdb-4f13-8167-1b5e64eb33b0,0.0677,0.1525,0.4183,0.7207,0.1624,0.0677,0.1525,0.4183,0.7207,0.8409,0.896
node2vec_mrr_34005199-544d-4e60-867c-7971cbbd13d3,0.0668,0.1625,0.4021,0.7342,0.1561,0.0668,0.1625,0.4021,0.7342,0.8255,0.8897
node2vec_mrr_59e2d0f8-a039-4932-802a-f02c0fad937a,0.0171,0.1169,0.4431,0.7324,0.117,0.0171,0.1169,0.4431,0.7324,0.842,0.8952
node2vec_mrr_7ab5c7b3-8bd8-4d6e-9a3f-e9cd58910db3,0.0618,0.2347,0.4454,0.7166,0.1801,0.0618,0.2347,0.4454,0.7166,0.781,0.8682
node2vec_mrr_09ff866b-fdc5-4d4f-a994-577c71d609a1,0.0,0.1616,0.3994,0.722,0.1424,0.0,0.1616,0.3994,0.722,0.8296,0.8911
node2vec_mrr_472fa941-f972-46e6-b810-f2be4af11098,0.0718,0.2491,0.4851,0.7306,0.1879,0.0718,0.2491,0.4851,0.7306,0.8117,0.8848
node2vec_mrr_b361fa9e-487f-46d5-a102-4473bd8beb54,0.1092,0.2139,0.4269,0.7306,0.1976,0.1092,0.2139,0.4269,0.7306,0.8208,0.8894
node2vec_mrr_1c5fa9f3-59c7-4607-99c8-3fd89fcf439d,0.0934,0.1476,0.4219,0.7306,0.1815,0.0934,0.1476,0.4219,0.7306,0.8257,0.8906
node2vec_mrr_0dda9165-daa5-4dbc-a014-1e2db86faff1,0.0,0.162,0.4752,0.7107,0.1431,0.0,0.162,0.4752,0.7107,0.7972,0.8751
node2vec_mrr_375eaddf-5805-4c11-a181-0eb2ee4568a1,0.1047,0.2744,0.3664,0.7225,0.1954,0.1047,0.2744,0.3664,0.7225,0.812,0.884
node2vec_mrr_692cac85-6c56-4c4c-99c3-e39b38dd01ab,0.1318,0.2509,0.3912,0.7243,0.2158,0.1318,0.2509,0.3912,0.7243,0.8147,0.8857
node2vec_mrr_1a7b1118-4fc7-4365-a035-b4699f6dda8a,0.0438,0.1936,0.431,0.7252,0.1569,0.0438,0.1936,0.431,0.7252,0.8606,0.9053
node2vec_mrr_7a432a05-13df-4ffc-93e3-89ee4d288a46,0.0781,0.1038,0.4346,0.6877,0.157,0.0781,0.1038,0.4346,0.6877,0.8394,0.8916
node2vec_mrr_c36de4cb-6326-4e1a-91e0-53d1643f8d20,0.0984,0.2572,0.3745,0.7207,0.2,0.0984,0.2572,0.3745,0.7207,0.8374,0.8955
node2vec_mrr_c4987457-b892-4a29-b387-41e6b5dd0864,0.0505,0.1968,0.4156,0.6634,0.1568,0.0505,0.1968,0.4156,0.6634,0.8534,0.8939
node2vec_mrr_9261b290-9fd8-42b7-b233-73f0d36d01c9,0.0523,0.2247,0.463,0.727,0.1679,0.0523,0.2247,0.463,0.727,0.8267,0.89
node2vec_mrr_5b9430fc-b74b-4216-be93-bcc3cc48f731,0.0713,0.185,0.4061,0.7351,0.1709,0.0713,0.185,0.4061,0.7351,0.8385,0.8976
node2vec_mrr_c089e17b-45f2-4508-8ea5-55c9248b16a8,0.0781,0.2175,0.4644,0.7306,0.1853,0.0781,0.2175,0.4644,0.7306,0.8169,0.8877
node2vec_mrr_d8912018-7cd8-4bae-b21b-530a4eeb0ce8,0.0799,0.3091,0.4418,0.7414,0.1965,0.0799,0.3091,0.4418,0.7414,0.812,0.8857
node2vec_mrr_81965a5d-35e2-47ac-8b1e-a04d3dd384cf,0.139,0.2017,0.3326,0.7374,0.2115,0.139,0.2017,0.3326,0.7374,0.8135,0.8852
node2vec_mrr_9e4e4a42-355b-4643-8f16-d21ce3dd24c7,0.0623,0.1485,0.4138,0.7207,0.1662,0.0623,0.1485,0.4138,0.7207,0.8017,0.8788
node2vec_mrr_b6ea675b-9b7e-4080-8168-dd5c8934b136,0.0708,0.1232,0.4332,0.7324,0.1599,0.0708,0.1232,0.4332,0.7324,0.8198,0.8879
node2vec_mrr_716cf0a7-b921-471b-80bc-35e13624ec26,0.0,0.1151,0.3691,0.7098,0.1212,0.0,0.1151,0.3691,0.7098,0.7951,0.8734
node2vec_mrr_9c888c0e-af9e-4579-acb1-0370781e1b64,0.1065,0.3403,0.4738,0.7252,0.2199,0.1065,0.3403,0.4738,0.7252,0.8179,0.8883
node2vec_mrr_e03b785f-bf04-4bb4-8f12-bdcbe136544f,0.074,0.2387,0.4644,0.7198,0.1992,0.074,0.2387,0.4644,0.7198,0.8004,0.8784
node2vec_mrr_a1b68648-1932-4d7c-add1-7505f8b2d4de,0.0487,0.3461,0.4341,0.7283,0.1884,0.0487,0.3461,0.4341,0.7283,0.8301,0.8921
node2vec_mrr_c39b0301-0585-486e-9e9a-54f497d580f9,0.0627,0.2505,0.384,0.7247,0.169,0.0627,0.2505,0.384,0.7247,0.8186,0.887
node2vec_mrr_d5b3d3ae-accf-4799-8bcb-063a8a1170ad,0.0,0.3005,0.4616,0.7279,0.163,0.0,0.3005,0.4616,0.7279,0.8112,0.8834
node2vec_mrr_ab921ef9-57c9-4493-8ff2-0d6d4b50cf20,0.0772,0.2983,0.4395,0.731,0.2023,0.0772,0.2983,0.4395,0.731,0.7949,0.8771
node2vec_mrr_178d08b4-db0a-473a-b2be-fa0265d6fdc6,0.0546,0.0718,0.2893,0.7166,0.1179,0.0546,0.0718,0.2893,0.7166,0.8201,0.8849
node2vec_mrr_cfb4ad8f-4d95-4783-934a-c418e0557759,0.1417,0.1963,0.4174,0.7198,0.217,0.1417,0.1963,0.4174,0.7198,0.8166,0.885
node2vec_mrr_c454f99d-5108-4eb6-9aa1-7bd222b775b5,0.065,0.2008,0.4116,0.7184,0.1657,0.065,0.2008,0.4116,0.7184,0.8129,0.8843
node2vec_mrr_49db7aa0-c9ee-4d2c-bc82-72b5f38cc564,0.0889,0.153,0.2974,0.7261,0.16,0.0889,0.153,0.2974,0.7261,0.8273,0.8913
node2vec_mrr_b935f7e4-cd77-4c92-aa90-f225c0884158,0.0699,0.111,0.3398,0.7229,0.1528,0.0699,0.111,0.3398,0.7229,0.8401,0.8964
