Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ncn-arxiv_2023,46.60 ± 4.96,53.47 ± 6.73,68.36 ± 5.60,76.11 ± 2.51,85.96 ± 1.36,91.13 ± 0.98,51.29 ± 6.18,46.60 ± 4.96,53.47 ± 6.73,68.36 ± 5.60,76.11 ± 2.51,85.96 ± 1.36,91.13 ± 0.98,98.04 ± 0.18,98.24 ± 0.17,93.28 ± 0.13
ncnc-arxiv_2023,32.97 ± 15.67,40.39 ± 12.85,61.23 ± 12.20,75.15 ± 4.46,86.65 ± 1.38,91.45 ± 0.55,42.34 ± 14.49,32.97 ± 15.67,40.39 ± 12.85,61.23 ± 12.20,75.15 ± 4.46,86.65 ± 1.38,91.45 ± 0.55,97.94 ± 0.13,98.05 ± 0.20,93.22 ± 0.24
seal-arxiv_2023,17.36 ± 9.96,31.73 ± 4.05,48.76 ± 2.59,51.40 ± 4.23,62.43 ± 2.79,73.23 ± 2.59,27.08 ± 4.06,17.36 ± 9.96,31.73 ± 4.05,48.76 ± 2.59,51.40 ± 4.23,62.43 ± 2.79,73.23 ± 2.59,97.80 ± 0.26,97.66 ± 0.25,68.63 ± 7.47
minilm-arxiv_2023-origin,18.80 ± 0.42,22.32 ± 0.64,57.53 ± 0.81,72.88 ± 0.07,84.40 ± 0.12,91.02 ± 0.03,27.64 ± 0.23,18.80 ± 0.42,22.32 ± 0.64,57.53 ± 0.81,72.88 ± 0.07,84.40 ± 0.12,91.02 ± 0.03,97.88 ± 0.01,97.85 ± 0.01,92.98 ± 0.05
e5-large-arxiv_2023-origin,13.19 ± 0.40,22.88 ± 0.06,61.07 ± 0.19,74.61 ± 0.07,88.40 ± 0.03,92.28 ± 0.24,26.26 ± 0.10,13.19 ± 0.40,22.88 ± 0.06,61.07 ± 0.19,74.61 ± 0.07,88.40 ± 0.03,92.28 ± 0.24,98.14 ± 0.00,98.15 ± 0.00,93.65 ± 0.04
bert-arxiv_2023-origin,12.28 ± 1.78,21.44 ± 5.62,38.56 ± 2.41,45.96 ± 2.96,58.04 ± 1.40,67.37 ± 1.45,19.46 ± 1.12,12.28 ± 1.78,21.44 ± 5.62,38.56 ± 2.41,45.96 ± 2.96,58.04 ± 1.40,67.37 ± 1.45,92.17 ± 0.20,92.85 ± 0.11,84.44 ± 0.22
elph-arxiv_2023,31.68 ± 8.19,43.66 ± 3.44,53.36 ± 4.26,58.17 ± 4.00,62.28 ± 2.78,63.70 ± 2.82,39.13 ± 5.93,31.68 ± 8.19,43.66 ± 3.44,53.36 ± 4.26,58.17 ± 4.00,62.28 ± 2.78,63.70 ± 2.82,86.92 ± 0.53,89.33 ± 0.49,50.53 ± 0.60
buddy-arxiv-2023,14.33 ± 5.66,18.25 ± 3.33,33.66 ± 2.35,41.19 ± 1.19,52.25 ± 2.01,60.49 ± 0.94,18.75 ± 3.71,14.33 ± 5.66,18.25 ± 3.33,33.66 ± 2.35,41.19 ± 1.19,52.25 ± 2.01,60.49 ± 0.94,84.33 ± 0.60,87.81 ± 0.32,64.54 ± 10.93
neognn-arxiv_2023,21.90 ± 16.89,42.12 ± 14.85,55.00 ± 10.42,62.49 ± 6.36,72.66 ± 1.44,76.42 ± 1.25,34.63 ± 13.36,21.90 ± 16.89,42.12 ± 14.85,55.00 ± 10.42,62.49 ± 6.36,72.66 ± 1.44,76.44 ± 1.29,89.22 ± 0.38,92.31 ± 0.18,83.64 ± 1.17
llama-arxiv_2023-origin,26.77 ± 3.39,56.42 ± 7.62,79.80 ± 1.01,85.72 ± 1.26,93.31 ± 0.96,96.76 ± 0.34,42.07 ± 2.24,26.77 ± 3.39,55.23 ± 5.97,79.80 ± 1.01,85.72 ± 1.26,93.31 ± 0.96,96.76 ± 0.34,99.22 ± 0.03,99.19 ± 0.03,95.97 ± 0.15
minilm-arxiv_2023-origin_euclidean,0.82 ± 0.42,3.42 ± 0.21,6.47 ± 0.42,9.18 ± 0.50,14.44 ± 1.53,20.19 ± 0.89,3.06 ± 0.43,0.82 ± 0.42,3.42 ± 0.21,6.47 ± 0.42,9.18 ± 0.50,14.44 ± 1.53,20.19 ± 0.89,62.18 ± 0.71,65.29 ± 0.75,57.59 ± 0.85
bert-arxiv_2023-origin_euclidean,3.22 ± 1.51,6.14 ± 0.37,9.60 ± 0.58,12.40 ± 0.81,17.47 ± 0.64,22.71 ± 0.41,5.70 ± 0.57,3.22 ± 1.51,6.14 ± 0.37,9.60 ± 0.58,12.40 ± 0.81,17.47 ± 0.64,22.71 ± 0.41,64.56 ± 0.69,67.88 ± 0.24,60.63 ± 0.36
minilm-arxiv_2023-origin_cross,2.25 ± 0.88,5.58 ± 1.05,10.42 ± 0.83,15.13 ± 0.24,24.96 ± 0.38,34.56 ± 0.80,5.69 ± 0.67,2.25 ± 0.88,5.58 ± 1.05,10.42 ± 0.83,15.16 ± 0.22,24.96 ± 0.38,34.56 ± 0.80,75.06 ± 0.15,77.05 ± 0.11,68.78 ± 0.25
bert-arxiv_2023-origin_cross,1.50 ± 0.23,4.19 ± 1.63,14.41 ± 2.23,22.19 ± 1.55,35.46 ± 1.71,48.71 ± 0.62,5.67 ± 0.43,1.50 ± 0.23,4.19 ± 1.63,14.41 ± 2.23,22.19 ± 1.55,35.46 ± 1.71,48.71 ± 0.62,86.61 ± 0.15,86.26 ± 0.24,78.82 ± 0.28
e5-large-arxiv_2023-origin_cross,7.15 ± 0.18,9.46 ± 0.35,19.09 ± 0.34,26.10 ± 0.72,42.71 ± 0.28,55.49 ± 0.44,12.25 ± 0.23,7.15 ± 0.18,9.46 ± 0.35,19.09 ± 0.34,26.10 ± 0.72,42.71 ± 0.28,55.49 ± 0.44,88.35 ± 0.13,88.46 ± 0.11,79.72 ± 0.13
llama-arxiv_2023-origin_cross,14.48 ± 4.01,26.08 ± 2.90,53.09 ± 4.67,62.41 ± 1.27,77.81 ± 1.29,86.52 ± 0.68,27.95 ± 1.48,14.48 ± 4.01,26.08 ± 2.90,53.09 ± 4.67,62.41 ± 1.27,77.81 ± 1.29,86.52 ± 0.68,96.83 ± 0.12,96.89 ± 0.07,90.89 ± 0.20
