Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ft-MLP-minilm-pubmed,8.90 ± 6.72,24.78 ± 8.83,44.09 ± 5.46,56.04 ± 5.54,75.87 ± 3.72,86.80 ± 1.98,20.79 ± 6.32,8.90 ± 6.72,24.78 ± 8.83,44.09 ± 5.46,56.04 ± 5.54,75.87 ± 3.72,86.80 ± 1.98,97.64 ± 0.36,97.40 ± 0.50,0.00 ± 0.00
ft-MLP-bert-pubmed,4.96 ± 1.84,20.42 ± 7.25,35.54 ± 10.27,56.26 ± 7.58,73.70 ± 4.01,84.45 ± 2.92,17.11 ± 3.90,4.96 ± 1.84,20.42 ± 7.25,35.54 ± 10.27,56.26 ± 7.58,73.70 ± 4.01,84.45 ± 2.92,97.32 ± 0.44,97.01 ± 0.57,0.00 ± 0.00
ft-MLP-e5-largepubmed,12.45 ± 6.26,17.17 ± 8.13,40.74 ± 12.38,55.03 ± 2.90,76.26 ± 2.55,87.23 ± 1.60,19.75 ± 5.81,12.45 ± 6.26,17.17 ± 8.13,40.74 ± 12.38,55.03 ± 2.90,76.26 ± 2.55,87.23 ± 1.60,97.79 ± 0.14,97.44 ± 0.27,0.00 ± 0.00
ft-MLP-minilm-cora,22.29 ± 8.79,37.55 ± 11.09,64.66 ± 3.98,79.76 ± 3.10,92.49 ± 2.13,96.68 ± 1.69,35.55 ± 5.82,22.29 ± 8.79,37.55 ± 11.09,64.66 ± 3.98,79.76 ± 3.10,92.49 ± 2.13,96.68 ± 1.69,93.98 ± 0.85,93.94 ± 0.40,0.00 ± 0.00
ft-MLP-bert-cora,19.37 ± 3.80,31.70 ± 6.71,60.08 ± 7.42,74.63 ± 5.63,89.17 ± 2.86,96.99 ± 1.36,30.90 ± 4.33,19.37 ± 3.80,31.70 ± 6.71,60.08 ± 7.42,74.63 ± 5.63,89.17 ± 2.86,96.99 ± 1.36,92.88 ± 0.99,92.58 ± 1.29,0.00 ± 0.00
ft-MLP-e5-large-cora,25.06 ± 11.48,43.72 ± 14.55,67.11 ± 8.29,80.55 ± 4.82,92.09 ± 1.70,96.92 ± 1.35,38.63 ± 9.39,25.06 ± 11.48,43.72 ± 14.55,67.11 ± 8.29,80.55 ± 4.82,92.09 ± 1.70,96.92 ± 1.35,94.27 ± 0.85,94.30 ± 1.01,0.00 ± 0.00
ft-MLP-minilm-arxiv_2023,18.65 ± 8.37,36.03 ± 3.56,54.61 ± 6.63,65.91 ± 5.05,80.20 ± 2.62,88.38 ± 1.06,29.86 ± 5.82,18.65 ± 8.37,36.03 ± 3.56,54.61 ± 6.63,65.91 ± 5.05,80.20 ± 2.62,88.38 ± 1.06,97.25 ± 0.36,97.29 ± 0.36,0.00 ± 0.00
ft-MLP-bert-arxiv_2023,20.31 ± 5.45,30.28 ± 7.59,49.27 ± 4.43,63.21 ± 4.12,77.75 ± 3.46,87.56 ± 2.05,29.54 ± 3.98,20.31 ± 5.45,30.28 ± 7.59,49.27 ± 4.43,63.21 ± 4.12,77.75 ± 3.46,87.56 ± 2.05,96.98 ± 0.31,97.00 ± 0.32,0.00 ± 0.00
ft-MLP-e5-large-marxiv_2023,21.25 ± 7.41,33.52 ± 8.53,54.55 ± 6.20,66.67 ± 3.51,80.48 ± 2.52,89.35 ± 1.33,31.73 ± 6.62,21.25 ± 7.41,33.52 ± 8.53,54.55 ± 6.20,66.67 ± 3.51,80.48 ± 2.52,89.35 ± 1.33,97.39 ± 0.33,97.42 ± 0.33,0.00 ± 0.00


minilm-arxiv_2023-origin,18.80 ± 0.42,22.32 ± 0.64,57.53 ± 0.81,72.88 ± 0.07,84.40 ± 0.12,91.02 ± 0.03,27.64 ± 0.23,18.80 ± 0.42,22.32 ± 0.64,57.53 ± 0.81,72.88 ± 0.07,84.40 ± 0.12,91.02 ± 0.03,97.88 ± 0.01,97.85 ± 0.01,92.98 ± 0.05
e5-large-arxiv_2023-origin,13.19 ± 0.40,22.88 ± 0.06,61.07 ± 0.19,74.61 ± 0.07,88.40 ± 0.03,92.28 ± 0.24,26.26 ± 0.10,13.19 ± 0.40,22.88 ± 0.06,61.07 ± 0.19,74.61 ± 0.07,88.40 ± 0.03,92.28 ± 0.24,98.14 ± 0.00,98.15 ± 0.00,93.65 ± 0.04
bert-arxiv_2023-origin,12.28 ± 1.78,21.44 ± 5.62,38.56 ± 2.41,45.96 ± 2.96,58.04 ± 1.40,67.37 ± 1.45,19.46 ± 1.12,12.28 ± 1.78,21.44 ± 5.62,38.56 ± 2.41,45.96 ± 2.96,58.04 ± 1.40,67.37 ± 1.45,92.17 ± 0.20,92.85 ± 0.11,84.44 ± 0.22
bert-cora-origin,0.30 ± 0.31,1.62 ± 0.85,14.76 ± 2.54,20.59 ± 3.83,35.79 ± 2.50,56.90 ± 3.26,3.42 ± 0.47,0.30 ± 0.31,1.62 ± 0.85,14.76 ± 2.54,20.59 ± 3.83,35.79 ± 2.50,55.79 ± 2.48,65.09 ± 1.41,63.26 ± 1.26,61.47 ± 0.86
minilm-cora-origin,24.87 ± 3.61,39.71 ± 9.91,61.11 ± 0.20,65.68 ± 1.08,83.39 ± 0.00,92.99 ± 0.00,34.29 ± 4.10,24.87 ± 3.61,39.71 ± 9.91,61.11 ± 0.20,65.68 ± 1.08,83.39 ± 0.00,92.99 ± 0.00,91.22 ± 0.04,91.90 ± 0.03,82.51 ± 0.16
e5-large-cora-origin,14.98 ± 5.38,20.15 ± 2.46,34.61 ± 6.78,49.15 ± 1.68,64.35 ± 1.56,83.10 ± 0.80,24.40 ± 2.48,14.98 ± 5.38,17.93 ± 2.58,32.33 ± 3.18,38.23 ± 1.00,55.57 ± 0.20,77.12 ± 5.79,83.87 ± 0.23,84.60 ± 0.23,74.24 ± 3.56
