Metric,node_sim_acc,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
cora_jhrjhb3q_nonlinear_compat,0.6996197718631179,0.0,0.0,0.0,0.6882,0.0195,0.0,0.0,0.0,0.6882,0.6996,0.6406
cora_ql9sesc8_nonlinear_compat,0.7072243346007605,0.0,0.0,0.0,0.673,0.0212,0.0,0.0,0.0,0.673,0.7072,0.6497
cora_rj6mtiwj_nonlinear_compat,0.714828897338403,0.0,0.0,0.0,0.7148,0.0202,0.0,0.0,0.0,0.7148,0.7148,0.6536
cora_r41ijr1q_nonlinear_compat,0.720532319391635,0.0,0.0,0.0,0.7719,0.0186,0.0,0.0,0.0,0.7719,0.7205,0.6544
cora_pieoue28_nonlinear_compat,0.6996197718631179,0.0,0.0,0.0,0.7414,0.0176,0.0,0.0,0.0,0.7414,0.6996,0.6366
cora_c31y33sw_nonlinear_compat,0.7015209125475286,0.0,0.0,0.0,0.6882,0.0197,0.0,0.0,0.0,0.6882,0.7015,0.6425
cora_zufk77x1_nonlinear_compat,0.6901140684410647,0.0,0.0,0.0,0.6882,0.0184,0.0,0.0,0.0,0.6882,0.6901,0.6313
cora_i6bzymf8_nonlinear_compat,0.7452471482889733,0.0,0.0,0.0,0.7414,0.0234,0.0,0.0,0.0,0.7414,0.7452,0.6832
cora_37gzxra6_nonlinear_compat,0.7243346007604563,0.0,0.0,0.0,0.6958,0.0226,0.0,0.0,0.0,0.6958,0.7243,0.6655
cora_tja60elr_nonlinear_compat,0.7281368821292775,0.0,0.0,0.0,0.73,0.0213,0.0,0.0,0.0,0.73,0.7281,0.6659
Best,0.7452471482889733,0.0,0.0,0.0,0.7719,0.0234,0.0,0.0,0.0,0.7719,0.7452,0.6832
