Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
ogbn-products_bey8z8du_GAE,0.00 ± nan,0.01 ± nan,0.10 ± nan,0.38 ± nan,2.30 ± nan,5.05 ± nan,0.21 ± nan,0.00 ± nan,0.01 ± nan,0.10 ± nan,0.38 ± nan,2.30 ± nan,5.05 ± nan,69.71 ± nan,74.51 ± nan,64.37 ± nan
ogbn-products_8pj3g3kx_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_6utzu8iy_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_95ih6ng1_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_gdo2qv7f_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_rsmm1h1j_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_u7cnmka7_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_faerkasq_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_82t18kpe_GAE,0.00 ± nan,0.02 ± nan,0.18 ± nan,0.90 ± nan,2.42 ± nan,4.66 ± nan,0.24 ± nan,0.00 ± nan,0.02 ± nan,0.18 ± nan,0.90 ± nan,2.42 ± nan,4.66 ± nan,69.95 ± nan,74.06 ± nan,63.40 ± nan
ogbn-products_8qfsgbam_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_5l9tqv0i_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_ihxctkb3_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_zuvpfi55_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_kpmnfj2z_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_lzcw0drp_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_kbl4v38e_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_iv7lcfej_GAE,0.03 ± nan,0.05 ± nan,0.21 ± nan,0.90 ± nan,2.42 ± nan,4.68 ± nan,0.29 ± nan,0.03 ± nan,0.05 ± nan,0.21 ± nan,0.90 ± nan,2.42 ± nan,4.68 ± nan,69.89 ± nan,74.14 ± nan,63.19 ± nan
ogbn-products_nwq1oped_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_qgfsr32l_GAE,0.01 ± nan,0.02 ± nan,0.24 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.24 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_dzbezt6o_GAE,0.00 ± nan,0.03 ± nan,0.33 ± nan,0.84 ± nan,2.24 ± nan,4.40 ± nan,0.23 ± nan,0.00 ± nan,0.03 ± nan,0.33 ± nan,0.84 ± nan,2.24 ± nan,4.40 ± nan,70.58 ± nan,74.38 ± nan,63.56 ± nan
ogbn-products_xzkagawh_GAE,0.01 ± nan,0.02 ± nan,0.10 ± nan,0.35 ± nan,2.28 ± nan,4.71 ± nan,0.22 ± nan,0.01 ± nan,0.02 ± nan,0.10 ± nan,0.35 ± nan,2.28 ± nan,4.71 ± nan,70.30 ± nan,74.34 ± nan,63.48 ± nan
ogbn-products_37plfdkn_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_nfy6bu9o_GAE,0.00 ± nan,0.02 ± nan,0.07 ± nan,0.47 ± nan,1.99 ± nan,4.57 ± nan,0.20 ± nan,0.00 ± nan,0.02 ± nan,0.07 ± nan,0.47 ± nan,1.99 ± nan,4.57 ± nan,70.77 ± nan,74.60 ± nan,64.02 ± nan
ogbn-products_snvsewaq_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_nybs77sw_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_awqhwji6_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_z3nhkzko_GAE,0.00 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.79 ± nan,4.01 ± nan,0.19 ± nan,0.00 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.79 ± nan,4.01 ± nan,70.55 ± nan,74.43 ± nan,63.70 ± nan
ogbn-products_onxkt797_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_uoy94919_GAE,0.00 ± nan,0.02 ± nan,0.07 ± nan,0.34 ± nan,1.87 ± nan,4.22 ± nan,0.19 ± nan,0.00 ± nan,0.02 ± nan,0.07 ± nan,0.34 ± nan,1.87 ± nan,4.22 ± nan,69.83 ± nan,73.96 ± nan,63.58 ± nan
ogbn-products_4w6e86qr_GAE,0.00 ± nan,0.06 ± nan,0.21 ± nan,0.69 ± nan,2.80 ± nan,4.97 ± nan,0.25 ± nan,0.00 ± nan,0.06 ± nan,0.21 ± nan,0.69 ± nan,2.80 ± nan,4.97 ± nan,70.18 ± nan,74.30 ± nan,63.70 ± nan
ogbn-products_b3gd5jpl_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_yfvn0kx1_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
