,,cora,,,,pubmed,,,,Arxiv2023,,,,
,,parameters,inference time,AUC,MRR,parameters,inference time,AUC,MRR,parameters,inference time,AUC,MRR,
,CN,,,,,,,,,,,,,
,AA,,,,,,,,,,,,,
,PageRank,,,,,,,,,,,,,
,Shortest P,,,,,,,,,,,,,
,Katz,,,,,,,,,,,,,
,DeepWalk,,,,,,,,,,,,,
,LINE,,,,,,,,,,,,,
,Node2vec,,,,,,,,,,,,,
,Struc2Vec,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SAGE,4.7e4-4.1e5,0.12,,,,,,,,,,,
,GIN,2.2e4-9.e4,0.15,,,,,,,,,,,
,GCN,1e4-1e5,0.21,,,,,,,,,,,
,GAT,5.20E+04,0.06,,,,,,,,,,,
,,,,,,,,,,,,,,
,SEAL,,,,,,,,,,,,,
,NCN,,,,,,,,,,,,,
,NCNC,,,,,,,,,,,,,
,NeoGNN,,,,,,,,,,,,,
,ELPH,,,,,,,,,,,,,
,BUDDY,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,FP,,,,,,,,,,,,,
,BERT,,,,,,,,,,,,,
,Llama,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Llama,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,File to load ,,,,,,,,,,,,,
,Source node,Target node,GR,,,Prediction,text,,,source,,target,LLM(SBERT),correlation
,,,,,,,,,,title abs,,title abs,prob,https://github.com/jessevig/bertviz
