Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC

e5-buddy-arxiv_2023,10.66 ± 6.23,23.44 ± 5.23,42.13 ± 3.44,49.23 ± 1.78,64.52 ± 3.00,77.43 ± 3.01,20.79 ± 4.67,10.66 ± 6.23,23.44 ± 5.23,42.13 ± 3.44,49.23 ± 1.78,64.52 ± 3.00,77.43 ± 3.01,95.27 ± 0.31,95.31 ± 0.33,74.74 ± 14.47
llama-buddy-arxiv_2023,19.18 ± 8.10,24.50 ± 3.12,42.57 ± 3.67,59.37 ± 5.35,75.15 ± 3.55,84.93 ± 1.68,28.74 ± 5.29,19.18 ± 8.10,24.50 ± 3.12,42.57 ± 3.67,59.37 ± 5.35,75.15 ± 3.55,84.93 ± 1.68,96.67 ± 0.38,96.62 ± 0.48,58.08 ± 9.33
minilm-buddy-arxiv_2023,7.61 ± 2.01,11.78 ± 1.61,21.21 ± 3.72,28.39 ± 1.95,38.33 ± 2.89,47.12 ± 2.93,11.31 ± 1.78,7.61 ± 2.01,11.78 ± 1.61,21.21 ± 3.72,28.39 ± 1.95,38.33 ± 2.89,47.12 ± 2.93,77.59 ± 0.35,81.80 ± 0.63,57.14 ± 4.03
bert-buddy-arxiv_2023,4.88 ± 4.44,11.30 ± 2.47,18.70 ± 2.44,25.07 ± 3.08,35.19 ± 1.54,43.30 ± 1.65,10.20 ± 2.88,4.88 ± 4.44,11.30 ± 2.47,18.70 ± 2.44,25.07 ± 3.08,35.19 ± 1.54,43.30 ± 1.65,77.93 ± 0.62,80.88 ± 0.89,56.27 ± 8.39


llama-ncn-arxiv_2023,20.55 ± 21.50,40.87 ± 12.10,60.39 ± 4.80,72.50 ± 3.30,86.43 ± 0.24,92.64 ± 0.52,32.48 ± 12.29,20.55 ± 21.50,40.87 ± 12.10,60.39 ± 4.80,72.50 ± 3.30,86.43 ± 0.24,92.64 ± 0.52,98.24 ± 0.17,98.22 ± 0.22,93.54 ± 0.43
e5-ncn-arxiv_2023,12.63 ± 17.91,39.95 ± 8.97,64.88 ± 3.87,74.07 ± 1.59,84.36 ± 0.56,90.79 ± 1.38,32.23 ± 14.04,12.63 ± 17.91,39.95 ± 8.97,64.88 ± 3.87,74.07 ± 1.59,84.36 ± 0.56,90.79 ± 1.38,97.82 ± 0.22,97.85 ± 0.24,92.42 ± 0.51
minilm-ncn-arxiv_2023,19.78 ± 18.05,39.60 ± 9.25,53.20 ± 0.98,56.90 ± 0.86,61.95 ± 0.54,66.47 ± 0.84,31.86 ± 13.16,19.78 ± 18.05,39.60 ± 9.25,53.20 ± 0.98,56.90 ± 0.86,61.95 ± 0.54,66.47 ± 0.84,86.69 ± 0.28,89.93 ± 0.24,78.83 ± 0.54
bert-ncn-arxiv_2023,22.47 ± 19.32,40.58 ± 9.07,53.80 ± 1.36,57.00 ± 1.01,61.93 ± 0.78,66.20 ± 0.62,37.05 ± 8.86,22.47 ± 19.32,40.58 ± 9.07,53.80 ± 1.36,57.00 ± 1.01,61.93 ± 0.78,66.20 ± 0.62,86.94 ± 0.27,90.08 ± 0.14,78.42 ± 0.95


llama-neognn-arxiv_2023,14.77 ± 14.96,24.14 ± 13.95,40.77 ± 13.24,45.83 ± 15.65,56.20 ± 10.94,63.67 ± 8.29,22.39 ± 13.38,14.77 ± 14.96,20.61 ± 17.73,35.16 ± 22.61,45.83 ± 15.65,56.20 ± 10.94,63.67 ± 8.29,86.94 ± 1.22,88.63 ± 1.34,76.93 ± 4.05
bert-neognn-arxiv_2023,17.06 ± 7.76,25.38 ± 8.78,38.89 ± 11.58,45.96 ± 10.88,57.40 ± 9.79,65.43 ± 8.49,23.92 ± 8.63,17.06 ± 7.76,21.27 ± 14.45,38.89 ± 11.58,45.96 ± 10.88,57.40 ± 9.79,65.43 ± 8.49,86.22 ± 1.93,87.91 ± 1.48,77.40 ± 3.57
e5-neognn-arxiv_2023,12.63 ± 10.71,32.35 ± 13.28,47.81 ± 12.06,53.20 ± 13.95,63.56 ± 11.23,69.09 ± 9.97,24.70 ± 11.08,12.63 ± 10.71,32.35 ± 13.28,47.81 ± 12.06,53.20 ± 13.95,63.56 ± 11.23,69.09 ± 9.97,88.32 ± 1.81,90.27 ± 2.25,79.92 ± 3.18
