Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC

minilm-buddy-cora,26.64 ± 12.98,48.38 ± 16.52,70.59 ± 3.86,81.98 ± 5.13,92.41 ± 1.62,97.55 ± 1.32,41.05 ± 11.41,26.64 ± 12.98,48.38 ± 16.52,70.59 ± 3.86,81.98 ± 5.13,92.41 ± 1.62,97.55 ± 1.32,94.74 ± 0.99,94.80 ± 1.08,84.07 ± 4.68
e5-buddy-cora,20.32 ± 16.14,39.05 ± 11.27,63.64 ± 7.96,76.84 ± 3.80,92.17 ± 1.32,97.86 ± 0.66,34.19 ± 10.77,20.32 ± 16.14,39.05 ± 11.27,63.64 ± 7.96,76.84 ± 3.80,92.17 ± 1.32,97.86 ± 0.66,94.03 ± 0.77,93.56 ± 1.10,81.27 ± 8.00
llama-buddy-cora,17.71 ± 13.45,30.99 ± 8.12,65.77 ± 4.71,79.13 ± 4.22,91.23 ± 1.66,97.47 ± 1.44,29.10 ± 5.72,17.71 ± 13.45,30.99 ± 8.12,65.77 ± 4.71,79.13 ± 4.22,91.23 ± 1.66,97.47 ± 1.44,93.97 ± 0.88,93.11 ± 1.41,79.13 ± 5.23
bert-buddy-cora,8.54 ± 6.01,13.75 ± 5.64,27.11 ± 4.00,41.58 ± 8.02,63.32 ± 5.74,81.42 ± 2.86,14.64 ± 3.70,8.54 ± 6.01,13.75 ± 5.64,27.11 ± 4.00,41.58 ± 8.02,63.32 ± 5.74,81.42 ± 2.86,79.62 ± 2.44,80.32 ± 2.73,61.34 ± 4.81


minilm-ncn-cora,30.36 ± 17.08,57.87 ± 12.64,81.50 ± 3.38,90.51 ± 1.70,96.21 ± 1.07,98.58 ± 0.60,46.59 ± 11.01,30.36 ± 17.08,57.87 ± 12.64,81.50 ± 3.38,90.51 ± 1.70,96.21 ± 1.07,98.58 ± 0.60,96.93 ± 0.54,96.86 ± 0.75,91.11 ± 0.79
e5-ncn-cora,36.68 ± 19.36,58.34 ± 13.48,81.66 ± 4.15,90.83 ± 1.93,95.57 ± 1.02,98.81 ± 0.62,49.65 ± 14.61,36.68 ± 19.36,58.34 ± 13.48,81.66 ± 4.15,90.83 ± 1.93,95.57 ± 1.02,98.81 ± 0.62,96.72 ± 0.67,96.84 ± 0.82,91.38 ± 1.36
llama-ncn-cora,37.55 ± 13.84,57.63 ± 9.26,81.11 ± 2.22,88.93 ± 1.72,94.94 ± 0.85,98.26 ± 0.77,49.62 ± 10.03,37.55 ± 13.84,57.63 ± 9.26,81.11 ± 2.22,88.93 ± 1.72,94.94 ± 0.85,98.26 ± 0.77,96.23 ± 0.28,96.43 ± 0.88,90.55 ± 0.53
bert-ncn-cora,35.97 ± 14.64,50.51 ± 4.34,59.21 ± 4.28,64.19 ± 4.54,73.04 ± 4.08,82.93 ± 3.65,43.37 ± 8.81,35.97 ± 14.64,50.51 ± 4.34,59.21 ± 4.28,64.19 ± 4.54,73.04 ± 4.08,82.93 ± 3.65,84.91 ± 2.53,88.44 ± 1.87,76.05 ± 1.52


bert-neognn-cora,36.76 ± 10.15,50.99 ± 3.50,68.70 ± 4.60,73.60 ± 5.50,80.08 ± 4.22,87.59 ± 3.79,45.50 ± 8.99,36.76 ± 10.15,50.99 ± 3.50,68.70 ± 4.60,73.60 ± 5.50,80.08 ± 4.22,87.59 ± 3.79,87.77 ± 2.30,89.54 ± 2.78,80.83 ± 2.99
minilm-neognn-cora,28.46 ± 15.72,55.57 ± 7.45,68.46 ± 4.11,74.55 ± 3.85,81.35 ± 5.27,87.59 ± 6.28,43.83 ± 6.82,28.46 ± 15.72,55.57 ± 7.45,68.46 ± 4.11,74.55 ± 3.85,81.35 ± 5.27,89.72 ± 3.21,88.66 ± 2.63,90.59 ± 3.38,81.38 ± 2.39
e5-neognn-cora,25.85 ± 17.48,55.10 ± 6.16,68.85 ± 3.20,72.81 ± 4.82,78.81 ± 2.49,82.06 ± 4.54,47.04 ± 8.63,25.85 ± 17.48,55.10 ± 6.16,68.85 ± 3.20,72.81 ± 4.82,78.81 ± 2.49,82.06 ± 4.54,87.06 ± 1.69,88.89 ± 1.89,81.66 ± 1.44
llama-neognn-cora,26.32 ± 15.66,54.94 ± 5.56,66.96 ± 3.67,73.28 ± 3.45,77.63 ± 4.33,83.00 ± 8.24,47.11 ± 8.51,26.32 ± 15.66,54.94 ± 5.56,66.96 ± 3.67,73.28 ± 3.45,77.63 ± 4.33,84.03 ± 9.29,87.08 ± 3.07,88.63 ± 2.71,81.82 ± 1.70


minilm-ncnc-cora,25.22 ± 19.96,51.94 ± 9.17,77.71 ± 8.55,90.83 ± 2.90,96.13 ± 1.20,98.81 ± 0.49,38.96 ± 13.20,25.22 ± 19.96,51.94 ± 9.17,77.71 ± 8.55,90.83 ± 2.90,96.13 ± 1.20,98.81 ± 0.49,96.82 ± 0.62,96.23 ± 1.32,91.94 ± 1.13
e5-ncnc-cora,25.77 ± 22.55,40.79 ± 19.96,76.29 ± 6.70,88.30 ± 2.54,96.13 ± 1.13,98.81 ± 0.74,39.23 ± 12.99,25.77 ± 22.55,40.79 ± 19.96,76.29 ± 6.70,88.30 ± 2.54,96.13 ± 1.13,98.81 ± 0.74,96.31 ± 0.68,96.19 ± 1.27,90.27 ± 0.65
llama-ncnc-cora,13.20 ± 12.99,26.40 ± 14.21,64.74 ± 7.12,85.30 ± 4.67,95.57 ± 1.02,98.73 ± 0.65,27.45 ± 7.86,13.20 ± 12.99,26.40 ± 14.21,64.74 ± 7.12,85.30 ± 4.67,95.57 ± 1.02,98.73 ± 0.65,95.63 ± 0.77,94.65 ± 1.64,86.72 ± 2.21
bert-ncnc-cora,12.41 ± 10.73,16.37 ± 14.26,56.76 ± 3.77,72.33 ± 1.25,77.47 ± 1.77,84.11 ± 2.70,25.39 ± 12.42,12.41 ± 10.73,16.68 ± 14.01,56.76 ± 3.77,72.33 ± 1.25,77.47 ± 1.77,84.11 ± 2.70,84.05 ± 2.85,86.56 ± 2.97,82.17 ± 0.65


llama-hlgnn-cora,51.17 ± 16.70,75.89 ± 9.62,90.73 ± 4.21,97.00 ± 1.84,98.85 ± 1.38,99.11 ± 1.54,63.80 ± 16.67,49.01 ± 21.84,75.28 ± 16.18,88.66 ± 9.91,94.34 ± 7.21,98.26 ± 4.39,99.46 ± 2.59,99.02 ± 1.77,98.97 ± 1.57,92.89 ± 6.45
minilm-hlgnn-cora,20.06 ± 3.15,32.98 ± 5.02,63.46 ± 9.33,81.07 ± 6.58,95.67 ± 2.14,98.72 ± 0.93,33.35 ± 2.73,18.88 ± 1.55,35.32 ± 3.52,67.75 ± 4.33,85.90 ± 2.50,97.51 ± 0.61,99.64 ± 0.08,98.10 ± 0.30,97.58 ± 0.43,89.27 ± 12.41
e5-hlgnn-cora,12.85 ± 8.14,20.16 ± 6.49,46.80 ± 11.46,58.46 ± 12.05,81.76 ± 13.05,90.99 ± 9.53,23.57 ± 7.47,13.63 ± 7.42,22.26 ± 6.52,46.85 ± 12.35,58.79 ± 12.17,84.51 ± 11.61,93.10 ± 7.74,94.32 ± 3.45,93.39 ± 3.72,85.33 ± 10.65
