Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC


llama-ncnc-pubmed,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,20.51 ± 9.80,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,98.54 ± 0.18,98.24 ± 0.42,94.26 ± 0.28
minilm-ncnc-pubmed,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,22.56 ± 3.30,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,99.07 ± 0.07,98.81 ± 0.10,95.79 ± 0.36
bert-ncnc-pubmed,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,23.49 ± 3.07,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,97.40 ± 0.20,97.11 ± 0.28,91.31 ± 0.67
e5-ncnc-pubmed,13.75 ± 13.77,30.78 ± 7.34,60.84 ± 6.05,76.14 ± 1.06,90.86 ± 1.95,96.69 ± 0.56,27.02 ± 5.96,13.75 ± 13.77,30.78 ± 7.34,60.84 ± 6.05,76.14 ± 1.06,90.86 ± 1.95,96.69 ± 0.56,99.14 ± 0.10,98.96 ± 0.08,95.94 ± 0.41

bert-ncn-pubmed,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,23.16 ± 6.75,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,97.24 ± 0.20,96.97 ± 0.26,91.49 ± 0.47
e5-ncn-pubmed,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,32.19 ± 4.80,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,99.10 ± 0.09,98.91 ± 0.10,95.95 ± 0.27
minilm-ncn-pubmed,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,33.60 ± 7.51,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,98.97 ± 0.10,98.87 ± 0.09,95.39 ± 0.28
