Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
pubmed_run669fjanq_GAE,11.69,14.42,40.14,70.08,89.73,96.98,20.43,11.69,14.42,40.14,70.08,89.73,96.98,99.32,99.18,80.35,0.01,1024,32,64,1000,0.8886897563934326,0.9958858489990234,34144
pubmed_runq8n236tj_GAE,9.45,16.67,42.08,60.22,87.0,95.4,18.21,9.45,16.67,42.08,60.22,87.0,95.4,99.25,99.1,80.34,0.01,1024,32,32,1000,2.606764316558838,2.7585244178771973,17088
pubmed_runiu0wmdxj_GAE,11.69,14.42,54.08,70.08,93.48,97.34,20.57,11.69,14.42,54.08,70.08,93.48,97.34,99.3,99.25,80.52,0.01,1024,32,128,1000,1.3699030876159668,1.4656240940093994,68256
pubmed_run6myzssg3_GAE,8.48,14.21,42.55,72.16,90.61,97.11,20.05,8.48,14.21,42.55,72.16,90.61,97.11,99.32,99.19,79.64,0.01,1024,32,64,1000,1.1554372310638428,1.229125738143921,34144
pubmed_run21op2v9i_GAE,6.5,17.87,41.81,76.94,93.86,97.5,20.74,6.5,17.87,41.81,76.94,93.86,97.5,99.3,99.25,80.73,0.01,1024,32,256,1000,1.507920265197754,1.628145456314087,136480
pubmed_runem1ezm3l_GAE,11.26,17.49,44.18,75.77,91.67,97.72,20.48,11.26,17.49,44.18,75.77,91.67,97.72,99.3,99.23,81.01,0.01,1024,32,128,1000,1.1872177124023438,1.2984111309051514,68256
pubmed_runkl1jrm6g_GAE,8.3,15.07,47.11,71.71,93.8,97.59,20.48,8.3,15.07,47.11,71.71,93.8,97.59,99.3,99.23,81.01,0.01,1024,32,256,1000,1.5532352924346924,1.6600751876831057,136480
pubmed_rune32c19kj_GAE,8.3,15.07,47.11,71.71,93.8,97.59,20.48,8.3,15.07,47.11,71.71,93.8,97.59,99.3,99.23,81.01,0.01,1024,64,32,1000,1.0868868827819824,1.1865158081054688,18144
pubmed_rund50kr02m_GAE,8.3,15.07,47.11,71.71,93.8,97.59,20.48,8.3,15.07,47.11,71.71,93.8,97.59,99.3,99.23,81.01,0.01,1024,64,64,1000,2.0964457988739014,2.2007312774658203,36224
pubmed_runiw7h1t1q_GAE,8.3,15.07,44.56,74.17,93.73,97.92,20.48,8.3,15.07,44.56,74.17,93.73,97.92,99.37,99.31,83.44,0.01,1024,64,128,1000,1.224053144454956,1.3153846263885498,72384
pubmed_runa8c1554x_GAE,8.3,18.82,44.56,74.17,95.33,97.9,23.15,8.3,18.82,44.56,74.17,95.33,97.9,99.37,99.39,85.81,0.01,1024,64,256,1000,1.2560060024261477,1.3570029735565186,144704
pubmed_runqe2rfjq4_GAE,8.3,18.82,44.56,74.17,95.33,97.9,23.15,8.3,18.82,44.56,74.17,95.33,97.9,99.37,99.39,85.81,0.01,1024,128,32,1000,1.1011521816253662,1.177725315093994,20256
pubmed_run774biiyi_GAE,8.15,18.82,44.56,74.17,95.33,97.9,23.15,8.15,18.82,44.56,74.17,95.33,97.9,99.37,99.39,85.81,0.01,1024,128,64,1000,1.148832082748413,1.2265148162841797,40384
pubmed_runpj68ylid_GAE,8.15,18.82,44.56,74.17,95.33,97.9,23.15,8.15,18.82,44.56,74.17,95.33,97.9,99.42,99.39,85.81,0.01,1024,128,128,1000,1.6814358234405518,1.725358963012695,80640
pubmed_runapkmvfle_GAE,14.49,21.71,57.63,79.76,94.92,98.1,27.09,14.49,21.71,57.63,79.76,94.92,98.1,99.42,99.39,85.81,0.01,1024,128,256,1000,1.6177349090576172,1.7360985279083252,161152
pubmed_runfisq5gm6_GAE,14.49,21.71,57.63,79.76,94.92,98.1,27.09,14.49,21.71,57.63,79.76,94.92,98.1,99.42,99.39,85.81,0.01,1024,256,32,1000,1.9861772060394287,2.084070444107056,24480
pubmed_run7i5nsowj_GAE,9.72,21.71,57.63,79.76,94.92,98.1,27.09,9.72,21.71,57.63,79.76,94.92,98.1,99.42,99.39,85.81,0.01,1024,256,64,1000,1.09433913230896,1.2137436866760254,48704
pubmed_runx637lag5_GAE,9.72,21.71,58.6,79.76,94.43,98.08,27.09,9.72,21.71,58.6,79.76,94.43,98.08,99.42,99.38,85.81,0.01,1024,256,128,1000,1.3782432079315186,1.4538748264312744,97152
pubmed_runselnr8s8_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,1024,256,256,1000,1.499431610107422,1.581899881362915,194048
pubmed_run3dqz23h0_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,32,32,1000,0.4502217769622803,0.5630416870117188,17088
pubmed_run42tphn95_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,32,64,1000,0.5001711845397949,0.5722644329071045,34144
pubmed_run44do8a96_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,32,128,1000,0.4460299015045166,0.5120036602020264,68256
pubmed_runuvge4n7b_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,32,256,1000,0.530644416809082,0.6619608402252197,136480
pubmed_rune42oeq79_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,64,32,1000,0.6129424571990967,0.6925435066223145,18144
pubmed_run9eq4y2aw_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,64,64,1000,0.4368722438812256,0.4790451526641845,36224
pubmed_run7nuwurdy_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,85.81,0.01,4096,64,128,1000,0.5414609909057617,0.5923502445220947,72384
pubmed_runuwlo8wvp_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,64,256,1000,0.4887263774871826,0.5622422695159912,144704
pubmed_runpmsud9nc_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,128,32,1000,0.4927563667297363,0.5697987079620361,20256
pubmed_runuau9e6c3_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,128,64,1000,0.5606050491333008,0.695380449295044,40384
pubmed_run78i0jfi1_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,128,128,1000,0.5526003837585449,0.6329939365386963,80640
pubmed_runxvmc5q1l_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,128,256,1000,0.8169302940368652,0.906710147857666,161152
pubmed_runlo1sq0ip_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,256,32,1000,0.7164852619171143,0.9868898391723632,24480
pubmed_runtnv8fso7_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,256,64,1000,0.6242363452911377,0.6909904479980469,48704
pubmed_runakj9pjup_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.49,99.46,83.61,0.01,4096,256,128,1000,0.5901651382446289,0.6812002658843994,97152
pubmed_runm3r4r5wb_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,4096,256,256,1000,0.5959553718566895,0.7152066230773926,194048
pubmed_runperop5i4_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,8192,32,32,1000,0.3657789230346679,0.4720702171325683,17088
pubmed_runatel6ut8_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,8192,32,64,1000,0.3347795009613037,0.4109170436859131,34144
pubmed_runw8h05rwn_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,8192,32,128,1000,0.6513898372650146,0.8247575759887695,68256
pubmed_rununp9iigo_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,8192,32,256,1000,0.4028000831604004,0.4725384712219238,136480
pubmed_run8k2z5ne5_GAE,13.2,21.71,63.7,84.66,96.53,98.19,26.11,13.2,21.71,63.7,84.66,96.53,98.19,99.33,99.46,83.61,0.01,8192,64,32,1000,0.3160159587860107,0.3746237754821777,18144
