Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,0.72,5.39,28.52,41.2,61.91,70.53,8.62,0.72,5.39,28.52,41.2,61.91,70.53,97.4,97.07,82.33,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,2000,0.9109716415405272,1.0180046558380127,8048
Tune,9.43,11.21,28.52,41.2,70.46,84.68,13.08,9.43,11.21,28.52,41.2,70.46,84.68,98.65,98.26,95.41,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,dot,2000,1.098402500152588,1.184354543685913,8065
Tune,1.15,11.21,28.52,41.2,70.46,84.68,13.08,1.15,11.21,28.52,41.2,70.46,84.68,98.65,98.26,95.41,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,inner,2000,1.0553395748138428,1.1455950736999512,8048
Tune,1.15,11.21,28.52,44.61,75.18,89.8,13.08,1.15,11.21,28.52,44.61,75.18,89.8,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,dot,2000,1.1238858699798584,1.236438512802124,9201
Tune,2.78,8.1,28.52,44.61,75.18,89.8,13.08,2.78,8.1,28.52,44.61,75.18,89.8,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,inner,2000,1.0570392608642578,1.1096656322479248,8048
Tune,2.78,8.1,35.63,49.05,75.18,88.72,13.08,2.78,8.1,35.63,49.05,75.18,88.72,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,dot,2000,1.18858003616333,1.2698609828948977,13361
Tune,2.78,8.1,35.63,49.05,75.18,88.72,13.08,2.78,8.1,35.63,49.05,75.18,88.72,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,32,1,1,0.1,inner,2000,1.098379611968994,1.1542975902557373,8048
Tune,2.78,8.1,35.63,49.05,75.18,88.72,13.08,2.78,8.1,35.63,49.05,75.18,88.72,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,32,1,1,0.1,dot,2000,1.1656615734100342,1.2254862785339355,8065
Tune,2.78,8.1,35.63,49.05,75.18,88.72,13.08,2.78,8.1,35.63,49.05,75.18,88.72,98.93,98.64,96.51,16,32,4,0.1,0,1,0.015,1,2,32,1,2,0.1,inner,2000,1.0156855583190918,1.1209797859191897,8048
Tune,2.78,8.1,28.81,49.05,79.65,88.72,13.08,2.78,8.1,28.81,49.05,79.65,88.72,98.93,98.71,96.51,16,32,4,0.1,0,1,0.015,1,2,32,1,2,0.1,dot,2000,1.029924392700195,1.0718727111816406,8625
