Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs,train_time,test_time,params
pubmed_runw7ndtspo_GAT,1.85,12.3,33.08,58.94,74.55,82.83,13.42,1.85,12.3,33.08,58.94,74.55,82.83,94.05,95.33,80.4,0.01,1024,32,32,4,0.1,0.0,5,10000,0.371565580368042,0.3952887058258056,16096
pubmed_runxdf0k1lv_GAT,1.85,12.3,34.84,58.94,74.55,82.11,13.42,1.85,12.3,34.84,58.94,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.1,0.0,6,10000,0.3656578063964844,0.3893554210662842,16096
pubmed_rundc1mcx2z_GAT,1.85,12.3,34.84,56.16,74.55,82.11,13.42,1.85,12.3,34.84,56.16,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.1,0.0,7,10000,0.3610880374908447,0.3846213817596435,16096
pubmed_run2jcn0a5x_GAT,1.85,12.3,33.12,56.16,74.55,82.11,13.42,1.85,12.3,33.12,56.16,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.1,0.1,5,10000,0.3671233654022217,0.3910589218139648,16096
pubmed_run6hvou7fa_GAT,3.81,7.74,37.45,56.16,74.55,82.11,12.9,3.81,7.74,37.45,56.16,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.1,0.1,6,10000,0.3728072643280029,0.3966562747955322,16096
pubmed_runry75cu8m_GAT,3.81,7.74,37.45,56.16,74.55,82.11,12.9,3.81,7.74,37.45,56.16,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.1,0.1,7,10000,0.3738596439361572,0.3979804515838623,16096
pubmed_run7c3tkvgz_GAT,3.81,7.74,37.45,56.16,74.55,82.11,12.9,3.81,7.74,37.45,56.16,74.55,82.11,94.05,95.26,80.4,0.01,1024,32,32,4,0.2,0.0,5,10000,0.3752386569976806,0.3992249965667724,16096
pubmed_runbtfi45sz_GAT,3.81,7.74,37.45,56.16,74.55,82.11,12.9,3.81,7.74,37.45,56.16,74.55,82.11,94.11,95.26,80.4,0.01,1024,32,32,4,0.2,0.0,6,10000,0.3706817626953125,0.3945715427398681,16096
pubmed_run11y4cq9d_GAT,3.81,7.74,37.45,56.16,74.55,82.11,12.9,3.81,7.74,37.45,56.16,74.55,82.11,94.11,95.26,80.4,0.01,1024,32,32,4,0.2,0.0,7,10000,0.3733932971954345,0.3972580432891845,16096
pubmed_runyv2fby2p_GAT,1.87,14.4,32.83,53.54,72.07,80.75,11.83,1.87,14.4,32.83,53.54,72.07,80.75,94.08,95.13,80.35,0.01,1024,32,32,4,0.1,0.0,6,1000,1.3151195049285889,1.3719348907470703,16096
pubmed_run40cufsrv_GAT,1.85,14.4,32.83,53.54,72.07,80.75,11.81,1.85,14.4,32.83,53.54,72.07,80.75,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.0,5,1000,1.5178134441375732,1.715505599975586,16096
pubmed_runqckkkj74_GAT,3.81,7.74,39.42,51.78,74.55,81.09,12.19,3.81,7.74,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.1,0.1,6,10000,0.3650543689727783,0.3888325691223144,16096
pubmed_runqsxsfje0_GAT,1.87,14.4,34.14,54.33,70.42,80.87,11.83,1.87,14.4,34.14,54.33,70.42,80.87,94.08,95.13,80.35,0.01,1024,32,32,4,0.1,0.0,7,1000,1.1427841186523438,1.1934764385223389,16096
pubmed_runhm2ihjku_GAT,1.85,14.4,32.83,53.54,72.07,80.75,11.81,1.85,14.4,32.83,53.54,72.07,80.75,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.0,6,1000,1.3122639656066897,1.3696391582489014,16096
pubmed_runqulr4vbg_GAT,1.87,14.4,32.49,54.33,70.42,80.87,11.83,1.87,14.4,32.49,54.33,70.42,80.87,94.08,95.13,80.35,0.01,1024,32,32,4,0.1,0.1,5,1000,1.0440752506256104,1.1537246704101562,16096
pubmed_runaar4ugqg_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.1,0.1,7,10000,0.3689074516296386,0.3932795524597168,16096
pubmed_rung9ctbswz_GAT,1.85,14.4,34.14,54.33,70.4,80.8,11.81,1.85,14.4,34.14,54.33,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.0,7,1000,1.0050513744354248,1.0389189720153809,16096
pubmed_runi522ttez_GAT,4.51,14.4,31.54,49.89,70.42,80.87,13.71,4.51,14.4,31.54,49.89,70.42,80.87,94.08,95.13,80.35,0.01,1024,32,32,4,0.1,0.1,6,1000,1.090662717819214,1.165343999862671,16096
pubmed_run6fwofs0v_GAT,1.85,14.4,32.63,54.33,70.4,80.8,11.81,1.85,14.4,32.63,54.33,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.1,5,1000,1.0246374607086182,1.0902860164642334,16096
pubmed_run9ck84xff_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.0,5,10000,0.370805025100708,0.3947310447692871,16096
pubmed_run46qq8lze_GAT,4.49,14.4,31.57,49.86,70.4,80.8,13.7,4.49,14.4,31.57,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.1,6,1000,1.1673948764801023,1.2653727531433103,16096
pubmed_runnxomb73q_GAT,4.49,14.4,39.96,49.86,70.4,80.8,12.27,4.49,14.4,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.1,0.1,7,1000,0.974696397781372,1.075925588607788,16096
pubmed_runu5kox8z3_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.0,6,10000,0.3643097877502441,0.3879573345184326,16096
pubmed_runvnqps0so_GAT,4.49,14.4,39.96,49.86,70.4,80.8,12.27,4.49,14.4,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.0,5,1000,1.3781871795654297,1.4538671970367432,16096
pubmed_runb06jor7y_GAT,4.49,14.4,39.96,49.86,70.4,80.8,12.27,4.49,14.4,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.0,6,1000,1.182769775390625,1.2609272003173828,16096
pubmed_runr0d7r3kq_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.0,7,10000,0.3692286014556885,0.3933918476104736,16096
pubmed_runphuxgu80_GAT,4.49,16.72,39.96,49.86,70.4,80.8,12.27,4.49,16.72,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.0,7,1000,1.0403501987457275,1.106594800949097,16096
pubmed_runx9zu3vvb_GAT,4.49,16.72,39.96,49.86,70.4,80.8,12.27,4.49,16.72,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.1,5,1000,1.0367891788482666,1.0958657264709473,16096
pubmed_run9i2u17d7_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.1,5,10000,0.3684964179992676,0.3921654224395752,16096
pubmed_rune1waf82f_GAT,4.49,16.72,39.96,49.86,70.4,80.8,12.27,4.49,16.72,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.1,6,1000,1.2789969444274902,1.3614516258239746,16096
pubmed_runwmdoly25_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.1,6,10000,0.3716816902160644,0.3956029415130615,16096
pubmed_runr4l6egs7_GAT,4.49,16.72,39.96,49.86,70.4,80.8,12.27,4.49,16.72,39.96,49.86,70.4,80.8,94.03,95.15,80.36,0.01,1024,32,32,4,0.2,0.1,7,1000,1.0294461250305176,1.1361188888549805,16096
pubmed_runzsics21e_GAT,4.49,7.67,39.96,49.86,71.93,80.8,12.27,4.49,7.67,39.96,49.86,71.93,80.8,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.0,5,1000,1.498222827911377,1.7201011180877686,16096
pubmed_runlripsq44_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,2,0.2,0.1,7,10000,0.378697395324707,0.4030020236968994,16096
pubmed_rundntk508o_GAT,4.49,7.67,39.96,49.86,71.93,80.6,12.27,4.49,7.67,39.96,49.86,71.93,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.0,6,1000,1.0372655391693115,1.1264266967773438,16096
pubmed_runc9vxweig_GAT,4.49,7.67,39.96,49.86,70.67,80.6,12.27,4.49,7.67,39.96,49.86,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.0,7,1000,1.3436782360076904,1.446730136871338,16096
pubmed_runv7e69tac_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.0,5,10000,0.3705306053161621,0.3945388793945312,16096
pubmed_runiarqblwn_GAT,2.82,16.81,39.96,49.86,70.67,80.6,14.0,2.82,16.81,39.96,49.86,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.1,5,1000,0.9435439109802246,1.0470991134643557,16096
pubmed_run0wjp3kic_GAT,2.82,16.81,39.96,49.21,70.67,80.6,14.0,2.82,16.81,39.96,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.1,6,1000,1.773940086364746,1.9295787811279297,16096
pubmed_runsxkcguww_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.0,6,10000,0.3680415153503418,0.391836404800415,16096
pubmed_runiuann0ua_GAT,2.82,16.81,39.96,49.21,70.67,80.6,14.0,2.82,16.81,39.96,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.1,0.1,7,1000,1.0831263065338137,1.221320867538452,16096
pubmed_run0m4fx1ue_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.0,7,10000,0.3710083961486816,0.3951013088226318,16096
pubmed_run8oxfdpqt_GAT,2.82,16.81,39.96,49.21,70.67,80.6,14.0,2.82,16.81,39.96,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.0,5,1000,1.1165988445281982,1.2031171321868896,16096
pubmed_run2ut60665_GAT,2.82,16.81,39.96,49.21,70.67,80.6,14.0,2.82,16.81,39.96,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.0,6,1000,1.3586852550506592,1.5150949954986572,16096
pubmed_runax2zrojk_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.1,5,10000,0.373807430267334,0.3978986740112304,16096
pubmed_runa12aeezh_GAT,2.82,16.81,36.53,49.21,70.67,80.6,14.0,2.82,16.81,36.53,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.0,7,1000,1.648961067199707,1.6837372779846191,16096
pubmed_rundjrzqzas_GAT,2.82,16.81,36.53,49.21,70.67,80.6,14.0,2.82,16.81,36.53,49.21,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.1,5,1000,0.9729385375976562,1.0212740898132324,16096
pubmed_runhrtgbln1_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.1,6,10000,0.3721427917480469,0.396111249923706,16096
pubmed_runpjp1ij5k_GAT,2.82,16.81,36.53,43.12,70.67,80.6,14.0,2.82,16.81,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.1,6,1000,0.941974639892578,1.0306389331817627,16096
pubmed_runpjhz8ows_GAT,2.82,16.81,36.53,43.12,70.67,80.6,14.0,2.82,16.81,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,2,0.2,0.1,7,1000,1.508040428161621,1.613609790802002,16096
pubmed_runn4umygat_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,93.99,95.26,80.4,0.01,1024,32,32,8,0.1,0.1,7,10000,0.3747115135192871,0.3985297679901123,16096
pubmed_run4tz5thjz_GAT,2.82,16.81,36.53,43.12,70.67,80.6,14.0,2.82,16.81,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.0,5,1000,1.630631685256958,1.7332441806793213,16096
pubmed_runvjrwgrjh_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.0,5,10000,0.3686773777008056,0.392291784286499,16096
pubmed_runux4uffz9_GAT,2.82,16.81,36.53,43.12,70.67,80.6,14.0,2.82,16.81,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.0,6,1000,1.2311601638793943,1.3075010776519775,16096
pubmed_runrrk4ov0v_GAT,2.82,16.81,36.53,43.12,70.67,80.6,14.0,2.82,16.81,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.0,7,1000,1.3560776710510254,1.463489294052124,16096
pubmed_runo78gh6vg_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.0,6,10000,0.3571155071258545,0.3811440467834472,16096
pubmed_runqeif9skz_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.1,5,1000,1.1626873016357422,1.266246318817139,16096
pubmed_runjjwp5efd_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.1,6,1000,0.9747703075408936,1.0952363014221191,16096
pubmed_run2af6ecxw_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.0,7,10000,0.3638606071472168,0.3875081539154053,16096
pubmed_run9qip3h8g_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.1,0.1,7,1000,1.4207110404968262,1.536346435546875,16096
pubmed_rungu3u1y2s_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.1,5,10000,0.3738386631011963,0.3977744579315185,16096
pubmed_run8dl6c1uo_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.2,0.0,5,1000,1.518542766571045,1.6299140453338623,16096
pubmed_runw86ot9pf_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.2,0.0,6,1000,1.300701379776001,1.3700742721557615,16096
pubmed_run1a7ocyuv_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.1,6,10000,0.3744959831237793,0.3985257148742676,16096
pubmed_runw7vndx5d_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.2,0.0,7,1000,1.0616273880004885,1.1467607021331787,16096
pubmed_runa5na0fzd_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.2,0.1,5,1000,1.288776397705078,1.3898258209228516,16096
pubmed_runaxxi4j9a_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,32,8,0.2,0.1,7,10000,0.3728432655334472,0.3967785835266113,16096
pubmed_runuejk08yr_GAT,2.82,15.5,36.53,43.12,70.67,80.6,14.0,2.82,15.5,36.53,43.12,70.67,80.6,94.01,95.14,80.36,0.01,1024,32,32,8,0.2,0.1,6,1000,1.2250595092773438,1.3767166137695312,16096
pubmed_runipviav8o_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.0,5,10000,0.3722686767578125,0.3963661193847656,16096
pubmed_run7gj9j4x9_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.0,6,10000,0.3794169425964355,0.403362512588501,16096
pubmed_run70y8e7is_GAT,3.81,8.91,39.42,51.78,74.55,81.09,12.19,3.81,8.91,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.0,7,10000,0.3736448287963867,0.3977093696594238,16096
pubmed_run7hb5qha3_GAT,4.15,27.19,39.42,51.78,74.55,81.09,14.2,4.15,27.19,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.1,5,10000,0.3697495460510254,0.3933055400848388,16096
pubmed_runkdhrbsmv_GAT,4.15,27.19,39.42,51.78,74.55,81.09,14.2,4.15,27.19,39.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.1,6,10000,0.3709790706634521,0.3954687118530273,16096
pubmed_runk0pnado5_GAT,4.15,27.19,33.42,51.78,74.55,81.09,14.2,4.15,27.19,33.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.1,0.1,7,10000,0.3759686946868896,0.399993896484375,16096
pubmed_runri8e787a_GAT,4.15,27.19,33.42,51.78,74.55,81.09,14.2,4.15,27.19,33.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.2,0.0,5,10000,0.3705456256866455,0.3942866325378418,16096
pubmed_run61koffmi_GAT,4.15,27.19,33.42,51.78,74.55,81.09,14.2,4.15,27.19,33.42,51.78,74.55,81.09,94.17,95.19,80.4,0.01,1024,32,64,4,0.2,0.0,6,10000,0.3692779541015625,0.3935685157775879,16096
Best,4.51,27.19,39.96,58.94,74.55,82.83,14.2,4.51,27.19,39.96,58.94,74.55,82.83,94.17,95.33,80.4,0.01,1024,32,64,8,0.2,0.1,7,10000,1.773940086364746,1.9295787811279297,16096
