Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,1.74,22.72,36.91,53.02,76.51,90.43,13.51,1.74,22.72,36.91,53.02,76.51,90.43,98.95,98.72,78.4,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,2000,0.947734832763672,1.0573999881744385,8016
Tune,1.74,23.89,30.82,42.58,76.51,91.18,13.51,1.74,20.24,30.82,42.58,76.51,91.18,98.95,98.72,96.23,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,2000,1.0129613876342771,1.082737684249878,8033
Tune,2.59,23.89,30.82,42.58,76.51,91.18,15.48,2.59,20.24,30.82,42.58,76.51,91.18,98.96,98.72,96.23,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,2000,1.0502915382385254,1.130458116531372,8016
Tune,1.13,15.43,25.47,46.05,80.53,94.49,12.46,1.13,15.43,25.47,46.05,80.53,94.49,99.01,98.65,97.07,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,2000,1.0668747425079346,1.1220760345458984,9169
Tune,1.13,15.43,25.47,46.05,80.53,94.49,12.46,1.13,15.43,25.47,46.05,80.53,94.49,99.01,98.65,97.07,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,2000,0.9393963813781738,1.0419692993164062,8016
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,2000,1.0314388275146484,1.143627405166626,13329
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,2000,1.0763509273529053,1.1205096244812012,8016
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,2000,0.7901365756988525,0.8924591541290283,8033
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,inner,2000,1.0110528469085691,1.0799202919006348,8016
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,dot,2000,1.066269874572754,1.1727540493011477,8593
Tune,1.13,15.43,25.47,64.26,84.57,96.19,12.46,1.13,15.43,25.47,64.26,84.57,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,inner,2000,1.2792909145355225,1.418872594833374,8016
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,dot,2000,1.1502642631530762,1.235661506652832,9649
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,inner,2000,0.905282497406006,0.9639441967010498,8016
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,dot,2000,1.0660266876220703,1.1917574405670166,8033
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,inner,2000,1.0714263916015625,1.133089303970337,8016
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,dot,2000,1.1268932819366455,1.209186553955078,8305
Tune,1.13,8.51,32.45,46.12,84.09,96.19,12.46,1.13,8.51,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,inner,2000,0.8742539882659912,0.9057142734527588,8016
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,dot,2000,1.2002882957458496,1.2559545040130615,8577
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,inner,2000,0.8922178745269775,0.9989383220672609,8016
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,dot,2000,0.9986755847930908,1.0882062911987305,8033
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,inner,2000,0.982576847076416,1.0937399864196775,8016
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,dot,2000,1.0532307624816897,1.1612908840179443,9169
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,inner,2000,1.0022573471069336,1.0981853008270264,8016
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,dot,2000,1.0167052745819092,1.128528118133545,13329
Tune,9.88,19.34,32.45,46.12,84.09,96.19,19.66,9.88,19.34,32.45,46.12,84.09,96.19,99.12,98.96,97.43,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,1,0.1,inner,2000,0.9676673412322998,1.0232460498809814,8016
