Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,8.78,13.85,31.97,41.34,68.64,79.78,14.37,8.78,13.85,31.97,41.34,68.64,79.78,98.17,97.93,76.24,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,2000,1.1882750988006592,1.258601427078247,8016
Tune,8.78,0.0,33.03,52.21,75.23,86.62,14.37,8.78,11.55,33.03,52.21,75.23,86.62,98.38,98.28,90.17,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,2000,1.3049778938293457,1.4000184535980225,8033
Tune,7.45,0.0,33.03,52.21,75.23,86.62,12.95,7.45,11.55,33.03,52.21,75.23,86.62,98.38,98.28,90.17,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,2000,0.9332025051116944,1.0141077041625977,8016
Tune,7.45,0.0,33.03,52.21,75.23,94.38,12.95,7.45,11.55,33.03,52.21,75.23,94.38,99.1,98.9,96.57,16,16,1,0.015,1,1,2,64,1,2,0.1,dot,2000,1.1792457103729248,1.2731246948242188,9169
Tune,7.45,0.0,33.03,52.21,75.23,94.38,12.95,7.45,11.55,33.03,52.21,75.23,94.38,99.1,98.9,96.57,16,16,1,0.015,1,1,2,64,1,3,0.1,inner,2000,1.1057939529418943,1.1857619285583496,8016
Tune,4.56,0.0,41.27,66.13,82.81,95.89,15.16,4.56,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,64,1,3,0.1,dot,2000,1.3797452449798584,1.454667091369629,13329
Tune,4.56,0.0,41.27,66.13,82.81,95.89,15.16,4.56,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,32,1,1,0.1,inner,2000,1.2793188095092771,1.49393892288208,8016
Tune,4.56,0.0,41.27,66.13,82.81,95.89,15.16,4.56,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,32,1,1,0.1,dot,2000,1.0901124477386477,1.145660400390625,8033
Tune,4.56,0.0,41.27,66.13,82.81,95.89,15.16,4.56,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,32,1,2,0.1,inner,2000,0.9981560707092284,1.1039087772369385,8016
Tune,4.56,0.0,41.27,66.13,82.81,95.89,15.16,4.56,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,32,1,2,0.1,dot,2000,1.1569790840148926,1.1969325542449951,8593
Tune,9.25,0.0,41.27,66.13,82.81,95.89,15.16,9.25,11.55,41.27,66.13,82.81,95.89,99.27,99.18,96.57,16,16,1,0.015,1,1,2,32,1,3,0.1,inner,2000,1.2028977870941162,1.3178510665893557,8016
