Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,4.31,7.38,21.05,32.54,55.48,72.2,8.83,4.31,7.38,21.05,32.54,55.48,72.2,97.15,96.78,83.56,16,16,0.015,1,2,64,1,1,0.1,inner,2000,1.1930348873138428,1.2254045009613037,17072
Tune,18.77,26.85,35.18,55.26,88.02,96.41,28.54,18.77,26.85,35.18,55.26,88.02,96.41,99.21,99.32,96.81,16,16,0.015,1,2,64,1,1,0.1,dot,2000,1.2825474739074707,1.371842622756958,17089
Tune,18.77,26.85,35.18,55.26,88.02,96.41,28.54,18.77,26.85,35.18,55.26,88.02,96.41,99.21,99.32,96.81,16,16,0.015,1,2,64,1,2,0.1,inner,2000,1.2200472354888916,1.3292417526245115,17072
Tune,18.77,26.85,35.18,55.26,88.02,96.41,28.54,18.77,26.85,35.18,55.26,88.02,96.41,99.32,99.32,96.95,16,16,0.015,1,2,64,1,2,0.1,dot,2000,1.3003692626953125,1.414439678192139,18225
Tune,18.77,26.85,35.18,55.26,88.02,96.41,28.54,18.77,26.85,35.18,55.26,88.02,96.41,99.32,99.32,96.95,16,16,0.015,1,2,64,1,3,0.1,inner,2000,1.268010139465332,1.3185138702392578,17072
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,64,1,3,0.1,dot,2000,1.3332998752593994,1.4628868103027344,22385
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,32,1,1,0.1,inner,2000,1.427558660507202,1.5880799293518066,17072
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,32,1,1,0.1,dot,2000,1.2258532047271729,1.3295371532440186,17089
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,32,1,2,0.1,inner,2000,1.2911162376403809,1.389805555343628,17072
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,32,1,2,0.1,dot,2000,1.401723861694336,1.4833154678344729,17649
Tune,18.77,26.85,47.09,59.7,88.15,96.93,28.54,18.77,26.85,47.09,59.7,88.15,96.93,99.38,99.14,97.36,16,16,0.015,1,2,32,1,3,0.1,inner,2000,1.1499745845794678,1.22869610786438,17072
