Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
pubmed_run08uxhmpk_VGAE,7.65,14.24,38.0,63.81,81.99,94.58,16.74,7.65,14.24,38.0,63.81,81.99,94.58,99.06,98.99,79.83,0.015,1024,32,32,1000,1.6346089839935305,1.7726023197174072,18144
pubmed_runqigkz84x_VGAE,6.43,24.21,39.51,67.08,88.72,95.87,19.76,6.43,24.21,39.51,67.08,88.72,95.87,99.26,99.19,83.89,0.015,1024,32,64,1000,1.1682684421539309,1.2425816059112549,36224
pubmed_runf6sgn8so_VGAE,7.76,14.49,37.86,64.98,82.13,94.79,16.8,7.76,14.49,37.86,64.98,82.13,94.79,99.06,98.99,80.36,0.015,1024,32,32,1000,1.592817783355713,1.7068336009979248,18144
pubmed_runi8y7rdv6_VGAE,6.43,24.21,39.51,67.08,88.72,95.87,19.76,6.43,24.21,39.51,67.08,88.72,95.87,99.26,99.18,83.89,0.015,1024,32,128,1000,1.61376690864563,1.6770858764648438,72384
pubmed_rungxhcry1o_VGAE,5.71,19.65,53.25,67.8,89.53,95.89,19.6,5.71,19.65,53.25,67.8,89.53,95.89,99.25,99.18,82.47,0.015,1024,32,64,1000,1.541696071624756,1.6142048835754397,36224
pubmed_runco19ya45_VGAE,8.3,20.33,53.25,67.8,89.53,95.89,20.26,8.3,20.33,53.25,67.8,89.53,95.89,99.25,99.22,82.47,0.015,1024,32,128,1000,1.553309440612793,1.6395747661590576,72384
pubmed_runmaezn97v_VGAE,8.3,20.33,53.25,62.97,89.53,95.89,20.26,8.3,20.33,53.25,62.97,89.53,95.89,99.25,99.22,82.47,0.015,1024,32,256,1000,1.836764097213745,1.993177890777588,144704
pubmed_runu6z2x2k7_VGAE,8.3,20.33,53.25,62.97,89.53,95.89,20.26,8.3,20.33,53.25,62.97,89.53,95.89,99.25,99.22,82.47,0.015,1024,64,32,1000,1.9589941501617432,2.080208778381348,20256
pubmed_run4p1692og_VGAE,8.3,20.33,53.25,62.97,88.54,95.89,20.26,8.3,20.33,53.25,62.97,88.54,95.89,99.25,99.22,84.72,0.015,1024,64,64,1000,1.6490638256072998,1.767803430557251,40384
pubmed_runxrhvajk9_VGAE,4.9,20.33,57.06,78.7,90.5,95.78,22.41,4.9,20.33,57.06,78.7,90.5,95.78,99.28,99.24,85.97,0.015,1024,64,128,1000,1.3088221549987793,1.4214160442352295,80640
pubmed_runun86dxou_VGAE,4.9,23.92,57.06,78.7,90.5,95.78,22.41,4.9,23.92,57.06,78.7,90.5,95.78,99.28,99.24,85.97,0.015,1024,64,256,1000,2.216907501220703,2.4294350147247314,161152
