Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
pubmed_runzszjts56_VGAE,4.56,9.21,16.18,22.61,31.16,46.34,8.74,4.56,9.21,16.18,22.61,31.16,46.34,92.28,91.17,83.02
pubmed_zb6nn5nz_GAE,0.68 ± 0.47,2.17 ± 0.78,4.94 ± 1.00,8.34 ± 1.83,14.74 ± 1.49,21.77 ± 1.81,2.63 ± 0.54,0.68 ± 0.47,2.17 ± 0.78,4.94 ± 1.00,8.34 ± 1.83,14.74 ± 1.49,21.77 ± 1.81,98.18 ± 0.17,97.82 ± 0.19,77.74 ± 0.28
pubmed_fdb1ezqs_GAE,0.68 ± 0.47,2.17 ± 0.79,4.93 ± 1.00,8.35 ± 1.84,14.74 ± 1.49,21.77 ± 1.80,2.63 ± 0.54,0.68 ± 0.47,2.17 ± 0.79,4.93 ± 1.00,8.35 ± 1.84,14.74 ± 1.49,21.77 ± 1.80,98.18 ± 0.17,97.82 ± 0.19,77.73 ± 0.27
pubmed_c5xulf16_GAE,2.16 ± 1.74,4.87 ± 1.99,10.70 ± 3.51,16.44 ± 3.66,29.81 ± 3.33,46.92 ± 1.53,5.45 ± 1.65,2.16 ± 1.74,4.87 ± 1.99,10.70 ± 3.51,16.44 ± 3.66,29.81 ± 3.33,46.92 ± 1.53,99.68 ± 0.01,99.57 ± 0.02,80.81 ± 0.70
pubmed_hfkci5zj_GAE,2.14 ± 1.73,4.91 ± 2.03,10.62 ± 3.46,16.34 ± 3.43,29.68 ± 3.04,46.79 ± 1.54,5.56 ± 1.76,2.14 ± 1.73,4.91 ± 2.03,10.62 ± 3.46,16.34 ± 3.43,29.68 ± 3.04,46.79 ± 1.54,99.68 ± 0.01,99.57 ± 0.02,80.32 ± 0.42
pubmed_ixrxusvi_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,50.00 ± nan,50.00 ± nan,50.00 ± nan
pubmed_bfcfzemg_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,50.00 ± nan,50.00 ± nan,50.00 ± nan
pubmed_9dvbxtdv_GAE,7.74 ± nan,9.06 ± nan,13.86 ± nan,18.28 ± nan,30.41 ± nan,48.48 ± nan,10.12 ± nan,7.74 ± nan,9.06 ± nan,13.86 ± nan,18.28 ± nan,30.41 ± nan,48.48 ± nan,99.68 ± nan,99.57 ± nan,80.29 ± nan
pubmed_syx5f7ot_GAE,1.80 ± nan,4.38 ± nan,8.30 ± nan,19.49 ± nan,32.66 ± nan,48.64 ± nan,5.50 ± nan,1.80 ± nan,4.38 ± nan,8.30 ± nan,19.49 ± nan,32.66 ± nan,48.64 ± nan,99.71 ± nan,99.61 ± nan,80.43 ± nan
pubmed_14hip4yk_GAE,1.64 ± nan,5.30 ± nan,8.80 ± nan,18.73 ± nan,32.75 ± nan,49.30 ± nan,5.70 ± nan,1.64 ± nan,5.30 ± nan,8.80 ± nan,18.73 ± nan,32.75 ± nan,49.30 ± nan,99.71 ± nan,99.61 ± nan,79.50 ± nan
