Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
combined_arxiv_2023_run4_w2vconcat1000_1,0.88 ± 0.14,4.31 ± 0.25,7.07 ± 0.14,9.70 ± 0.35,15.35 ± 0.45,22.99 ± 0.37,3.63 ± 0.10,0.88 ± 0.14,4.31 ± 0.25,7.07 ± 0.14,9.70 ± 0.35,15.35 ± 0.45,22.99 ± 0.37,67.68 ± 0.34,69.64 ± 0.26,0
seperated_arxiv_2023_run4_originaldot200_1,0.99 ± 0.37,6.98 ± 0.06,22.15 ± 0.17,32.79 ± 0.29,49.27 ± 0.19,62.19 ± 0.33,5.95 ± 0.02,0.99 ± 0.37,6.98 ± 0.06,22.15 ± 0.17,32.79 ± 0.29,49.27 ± 0.19,62.19 ± 0.33,90.10 ± 0.04,90.25 ± 0.03,0
combined_arxiv_2023_run4_tfidfdot2000_1,0.36 ± 0.08,0.71 ± 0.09,2.22 ± 0.50,3.72 ± 0.37,14.37 ± 0.45,22.07 ± 0.65,1.20 ± 0.13,0.36 ± 0.08,0.71 ± 0.09,2.22 ± 0.50,3.72 ± 0.37,14.37 ± 0.45,22.07 ± 0.65,70.64 ± 0.56,70.94 ± 0.54,0
combined_arxiv_2023_run4_tfidfconcat2000_1,0.00 ± 0.00,0.17 ± 0.03,1.12 ± 0.05,1.95 ± 0.36,4.03 ± 0.46,7.06 ± 0.76,0.54 ± 0.06,0.00 ± 0.00,0.17 ± 0.03,1.12 ± 0.05,1.95 ± 0.36,4.03 ± 0.46,7.06 ± 0.76,46.75 ± 4.30,52.32 ± 1.56,0
combined_arxiv_2023_run4_tfidfeuclidean2000_1,1.68 ± 0.53,3.90 ± 0.83,11.01 ± 0.60,14.97 ± 1.09,23.58 ± 0.81,31.66 ± 0.83,4.59 ± 0.40,1.68 ± 0.53,3.90 ± 0.83,11.01 ± 0.60,14.97 ± 1.09,23.58 ± 0.81,31.66 ± 0.83,75.70 ± 0.46,77.43 ± 0.49,0
seperated_arxiv_2023_run4_w2vconcat1000_1,1.69 ± 0.88,1.63 ± 0.73,4.55 ± 0.38,6.75 ± 0.26,11.31 ± 0.36,17.27 ± 0.58,2.96 ± 0.52,1.69 ± 0.88,1.63 ± 0.73,4.55 ± 0.38,6.75 ± 0.26,11.31 ± 0.36,17.27 ± 0.58,62.22 ± 0.27,63.53 ± 0.27,0
seperated_arxiv_2023_run4_w2veuclidean1000_1,1.30 ± 0.71,2.38 ± 0.31,3.86 ± 0.38,5.50 ± 0.38,8.83 ± 0.19,12.73 ± 0.14,2.58 ± 0.23,1.30 ± 0.71,2.38 ± 0.31,3.86 ± 0.38,5.50 ± 0.38,8.83 ± 0.19,12.74 ± 0.15,58.92 ± 0.21,59.88 ± 0.19,0
seperated_arxiv_2023_run4_w2vdot1000_1,0.44 ± 0.18,2.38 ± 0.19,4.23 ± 0.29,5.13 ± 0.28,8.17 ± 0.18,12.52 ± 0.21,2.35 ± 0.37,0.44 ± 0.18,2.38 ± 0.19,4.23 ± 0.29,5.13 ± 0.28,8.17 ± 0.18,12.52 ± 0.21,58.33 ± 0.10,59.35 ± 0.10,0
seperated_arxiv_2023_run4_originaldot2_1,0.42 ± 0.62,0.62 ± 0.61,1.70 ± 1.28,2.74 ± 1.31,5.42 ± 2.05,10.41 ± 3.09,1.08 ± 0.72,0.42 ± 0.62,0.62 ± 0.61,1.71 ± 1.30,2.74 ± 1.31,5.42 ± 2.05,10.42 ± 3.07,54.94 ± 4.27,55.90 ± 4.18,53.07 ± 3.16
seperated_arxiv_2023_run4_originaldot2_1,0.12 ± 0.14,0.39 ± 0.16,1.01 ± 0.52,2.24 ± 0.87,5.52 ± 2.02,10.23 ± 3.24,0.83 ± 0.28,0.12 ± 0.14,0.39 ± 0.16,1.01 ± 0.52,2.24 ± 0.87,5.52 ± 2.02,10.23 ± 3.24,57.30 ± 3.86,57.14 ± 3.91,52.30 ± 3.04
