Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
combined_cora_run4_w2vdot1000_1,5.98 ± 0.48,9.08 ± 0.33,13.36 ± 0.40,17.71 ± 0.37,29.44 ± 1.53,49.67 ± 2.10,9.42 ± 0.30,5.98 ± 0.48,9.08 ± 0.33,13.36 ± 0.40,17.71 ± 0.37,29.44 ± 1.53,49.96 ± 1.74,61.33 ± 0.45,63.30 ± 0.38,NaN
combined_cora_run4_w2veuclidean1000_1,1.70 ± 0.49,5.32 ± 0.20,8.78 ± 1.21,13.06 ± 0.85,23.84 ± 0.62,42.66 ± 0.61,4.47 ± 0.15,1.70 ± 0.49,5.32 ± 0.20,8.78 ± 1.21,13.28 ± 0.69,23.84 ± 0.62,42.73 ± 0.48,54.05 ± 0.30,56.54 ± 0.20,NaN
combined_cora_run4_w2vconcat1000_1,1.18 ± 0.17,3.02 ± 0.61,10.63 ± 0.95,17.19 ± 0.76,26.13 ± 1.51,43.62 ± 0.84,4.60 ± 0.15,1.18 ± 0.17,3.02 ± 0.61,10.63 ± 0.95,17.27 ± 0.80,26.13 ± 1.51,43.62 ± 0.84,54.51 ± 0.92,58.11 ± 0.55,NaN
seperated_cora_run4_tfidfeuclidean200_1,6.20 ± 1.37,17.49 ± 1.18,24.58 ± 2.36,37.34 ± 2.17,57.27 ± 1.81,78.82 ± 0.81,14.42 ± 1.25,6.20 ± 1.37,17.49 ± 1.18,24.58 ± 2.36,37.34 ± 2.17,57.27 ± 1.81,78.82 ± 0.81,78.79 ± 0.29,79.13 ± 0.27,NaN
seperated_cora_run4_tfidfdot200_1,11.88 ± 0.31,11.59 ± 5.71,27.31 ± 0.82,45.02 ± 2.78,61.92 ± 0.95,75.65 ± 0.78,17.65 ± 0.18,11.88 ± 0.31,11.59 ± 5.71,27.31 ± 0.82,45.02 ± 2.78,61.92 ± 0.95,75.65 ± 0.78,77.94 ± 0.06,80.19 ± 0.08,NaN
combined_cora_run4_tfidfdot2000_1,0.00 ± 0.00,0.30 ± 0.31,4.58 ± 0.93,11.81 ± 2.07,28.12 ± 3.93,44.58 ± 3.95,2.31 ± 0.18,0.00 ± 0.00,0.30 ± 0.31,4.58 ± 0.93,11.81 ± 2.07,28.12 ± 3.93,44.58 ± 3.95,58.18 ± 1.15,56.54 ± 1.03,NaN
combined_cora_run4_tfidfconcat2000_1,0.15 ± 0.20,1.25 ± 0.92,3.03 ± 1.37,7.38 ± 1.46,21.33 ± 2.31,43.32 ± 3.21,2.07 ± 0.23,0.15 ± 0.20,1.25 ± 0.92,3.03 ± 1.37,7.38 ± 1.46,21.33 ± 2.31,43.32 ± 3.21,53.66 ± 0.70,52.30 ± 0.80,NaN
combined_cora_run4_tfidfeuclidean2000_1,0.22 ± 0.33,2.66 ± 1.51,6.79 ± 1.58,14.02 ± 2.18,30.77 ± 1.62,51.37 ± 1.31,3.21 ± 0.19,0.22 ± 0.33,2.66 ± 1.51,6.79 ± 1.58,14.02 ± 2.18,30.77 ± 1.62,51.37 ± 1.31,59.19 ± 0.90,58.49 ± 0.73,NaN
combined_cora_run4_tfidfdot2000_1,1.26 ± 0.76,1.99 ± 1.32,5.31 ± 1.24,10.78 ± 1.94,25.61 ± 1.07,46.27 ± 1.58,2.86 ± 0.48,1.26 ± 0.76,1.99 ± 1.32,5.31 ± 1.24,10.78 ± 1.94,25.61 ± 1.07,46.27 ± 1.58,55.95 ± 0.79,56.33 ± 0.89,NaN
combined_cora_run4_tfidfconcat2000_1,0.74 ± 0.52,2.44 ± 1.03,6.05 ± 0.61,12.25 ± 2.28,28.42 ± 2.95,49.45 ± 2.36,3.95 ± 0.73,0.74 ± 0.52,2.44 ± 1.03,6.05 ± 0.61,12.25 ± 2.28,28.42 ± 2.95,49.45 ± 2.36,58.81 ± 0.58,58.28 ± 0.46,NaN
combined_cora_run4_tfidfeuclidean2000_1,0.22 ± 0.20,0.89 ± 0.50,2.95 ± 0.90,4.21 ± 0.56,17.12 ± 1.74,40.30 ± 2.08,1.85 ± 0.29,0.22 ± 0.20,0.89 ± 0.50,2.95 ± 0.90,4.21 ± 0.56,17.12 ± 1.74,40.30 ± 2.08,54.58 ± 0.59,50.76 ± 0.86,NaN
seperated_cora_run4_tfidfdot2000_1,3.25 ± 0.84,9.37 ± 0.67,28.41 ± 0.94,41.48 ± 0.67,61.55 ± 0.40,77.12 ± 0.26,12.00 ± 0.16,3.25 ± 0.84,9.37 ± 0.67,28.41 ± 0.94,41.48 ± 0.67,61.55 ± 0.40,77.12 ± 0.26,78.50 ± 0.11,79.54 ± 0.10,NaN
seperated_cora_run4_tfidfconcat2000_1,12.91 ± 0.97,19.19 ± 3.39,32.55 ± 2.11,46.42 ± 2.41,67.75 ± 1.89,84.13 ± 1.79,19.10 ± 1.25,12.91 ± 0.97,19.19 ± 3.39,32.55 ± 2.11,46.42 ± 2.41,67.75 ± 1.89,84.13 ± 1.79,83.06 ± 0.75,83.77 ± 0.60,NaN
seperated_cora_run4_tfidfeuclidean2000_1,1.25 ± 1.06,11.59 ± 2.63,20.15 ± 2.44,35.13 ± 2.89,53.80 ± 3.12,73.21 ± 1.76,10.04 ± 1.00,1.25 ± 1.06,11.59 ± 2.63,20.15 ± 2.44,35.13 ± 2.89,53.80 ± 3.12,73.21 ± 1.76,75.41 ± 0.42,75.80 ± 0.76,NaN
seperated_cora_run4_originaldot2000_1,15.65 ± 0.33,36.60 ± 2.51,46.05 ± 1.83,61.92 ± 2.79,72.91 ± 0.20,85.68 ± 0.41,29.13 ± 0.49,15.65 ± 0.33,36.60 ± 2.51,46.05 ± 1.83,61.92 ± 2.79,72.91 ± 0.20,85.83 ± 0.56,85.69 ± 0.31,87.37 ± 0.02,NaN
seperated_cora_run4_originaldot2000_1,34.98 ± 0.40,36.90 ± 1.14,45.16 ± 1.89,54.39 ± 1.09,67.09 ± 0.41,81.11 ± 0.31,38.94 ± 0.26,34.98 ± 0.40,36.90 ± 1.14,45.46 ± 1.55,54.39 ± 1.09,66.94 ± 0.33,81.03 ± 0.20,81.91 ± 0.64,85.22 ± 0.12,NaN
