Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ogbn_arxiv_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,54.26 ± 30.64,69.56 ± 5.80,3.98 ± 0.52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,39.83 ± 36.52,69.56 ± 5.80,100.00 ± 0.00,68.43 ± 2.05,62.62 ± 1.90,68.43 ± 2.05
ogbn_arxiv_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,54.26 ± 30.64,69.56 ± 5.80,3.98 ± 0.52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,39.83 ± 36.52,69.56 ± 5.80,100.00 ± 0.00,68.43 ± 2.05,62.62 ± 1.90,68.43 ± 2.05
ogbn_arxiv_run4_tfidf100000.005,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,55.99 ± 31.36,1.59 ± 0.07,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,55.99 ± 31.36,69.76 ± 2.01,68.37 ± 1.25,62.48 ± 1.05,68.37 ± 1.25
ogbn-arxiv_run4_tfidfMLP1000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,22.10 ± 30.58,63.16 ± 8.51,100.00 ± 0.00,6.31 ± 0.62,0.00 ± 0.00,0.00 ± 0.00,9.82 ± 21.97,63.16 ± 8.51,100.00 ± 0.00,100.00 ± 0.00,62.63 ± 2.88,57.96 ± 2.10,62.63 ± 2.88
ogbn_arxiv_run4_w2v10000_0.005,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.62 ± 2.45,2.93 ± 0.18,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.62 ± 2.45,80.62 ± 2.45,80.73 ± 1.23,74.83 ± 1.25,80.73 ± 1.23
ogbn_arxiv_run4_w2v10000_0.005,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.75 ± 37.45,80.76 ± 2.83,2.81 ± 0.45,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.76 ± 2.83,80.76 ± 2.83,80.17 ± 2.13,74.14 ± 2.46,80.17 ± 2.13
ogbn_arxiv_run4_w2v10000_0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,32.18 ± 44.08,1.52 ± 0.15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16.40 ± 36.68,82.14 ± 2.48,81.51 ± 1.14,75.57 ± 1.28,81.51 ± 1.14
ogbn_arxiv_run4_w2v10000_0.1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.21 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,85.34 ± 0.52,80.09 ± 1.37,85.34 ± 0.52
ogbn_arxiv_run4_w2v10000_0.1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.03,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,85.57 ± 0.28,80.21 ± 0.83,85.57 ± 0.28
Best,0.0,0.0,0.0,22.1,63.16,100.0,6.31,0.0,0.0,9.82,63.16,100.0,100.0,85.57,80.21,85.57
