Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
seperated_pubmed_run4_w2veuclidean200_1,0.09 ± 0.06,1.59 ± 0.31,2.28 ± 0.53,3.78 ± 0.59,8.31 ± 0.59,13.60 ± 0.38,1.21 ± 0.31,0.09 ± 0.06,1.59 ± 0.31,2.21 ± 0.45,3.85 ± 0.58,8.40 ± 0.66,13.60 ± 0.38,64.66 ± 0.14,64.61 ± 0.09,59.74 ± 0.27
seperated_pubmed_run4_w2veuclidean200_1,0.09 ± 0.06,1.59 ± 0.31,2.28 ± 0.53,3.78 ± 0.59,8.31 ± 0.59,13.60 ± 0.38,1.21 ± 0.31,0.09 ± 0.06,1.59 ± 0.31,2.21 ± 0.45,3.85 ± 0.58,8.40 ± 0.66,13.60 ± 0.38,64.66 ± 0.14,64.61 ± 0.09,59.74 ± 0.27
seperated_pubmed_run4_w2veuclidean200_1,0.50 ± 0.18,0.86 ± 0.15,1.94 ± 0.16,3.97 ± 0.39,8.91 ± 0.27,14.22 ± 0.75,1.27 ± 0.12,0.50 ± 0.18,0.86 ± 0.15,1.94 ± 0.16,4.13 ± 0.42,8.91 ± 0.27,14.22 ± 0.75,65.20 ± 0.13,64.83 ± 0.18,60.13 ± 0.33
seperated_pubmed_run4_w2veuclidean200_1,0.27 ± 0.19,0.79 ± 0.12,1.61 ± 0.60,4.15 ± 0.30,8.45 ± 0.40,13.32 ± 0.29,1.18 ± 0.12,0.27 ± 0.19,0.79 ± 0.12,1.97 ± 0.50,4.15 ± 0.30,8.45 ± 0.40,13.32 ± 0.29,65.30 ± 0.15,64.71 ± 0.18,60.01 ± 0.21
seperated_pubmed_run4_w2veuclidean200_1,0.26 ± 0.15,0.60 ± 0.21,2.88 ± 0.11,4.62 ± 0.35,9.35 ± 0.31,14.88 ± 0.46,1.29 ± 0.05,0.26 ± 0.15,0.60 ± 0.21,2.85 ± 0.10,4.62 ± 0.35,9.35 ± 0.31,14.88 ± 0.46,64.31 ± 0.19,64.44 ± 0.24,59.33 ± 0.34
seperated_pubmed_run4_w2vdot200_1,0.25 ± 0.16,2.55 ± 0.10,6.38 ± 0.80,8.93 ± 0.82,14.07 ± 0.22,19.71 ± 0.51,3.58 ± 0.21,0.25 ± 0.16,2.55 ± 0.10,6.38 ± 0.80,8.93 ± 0.82,14.07 ± 0.22,19.71 ± 0.51,68.37 ± 0.10,70.06 ± 0.05,63.26 ± 0.24
seperated_pubmed_run4_w2vconcat200_1,0.65 ± 0.33,2.19 ± 0.61,7.01 ± 0.19,10.25 ± 0.18,14.97 ± 0.52,21.77 ± 0.44,3.00 ± 0.08,0.65 ± 0.33,2.19 ± 0.61,7.01 ± 0.19,10.25 ± 0.18,14.97 ± 0.52,21.77 ± 0.44,69.91 ± 0.30,70.98 ± 0.23,64.35 ± 0.32
seperated_pubmed_run4_tfidfconcat200_1,1.92 ± 1.17,10.70 ± 2.30,22.02 ± 2.12,30.97 ± 1.27,48.24 ± 0.83,61.26 ± 0.81,11.63 ± 0.95,1.92 ± 1.17,10.70 ± 2.30,22.02 ± 2.12,30.97 ± 1.27,48.24 ± 0.83,61.26 ± 0.81,92.32 ± 0.06,92.08 ± 0.05,84.53 ± 0.27
seperated_pubmed_run4_tfidfdot200_1,2.63 ± 0.97,3.61 ± 0.32,7.72 ± 0.54,15.73 ± 0.63,32.28 ± 0.25,43.07 ± 0.39,6.14 ± 0.20,2.63 ± 0.97,3.61 ± 0.32,7.72 ± 0.54,15.73 ± 0.63,32.28 ± 0.25,43.07 ± 0.39,84.77 ± 0.01,85.12 ± 0.01,76.75 ± 0.04
Best,2.63,10.7,22.02,30.97,48.24,61.26,11.63,2.63,10.7,22.02,30.97,48.24,61.26,92.32,92.08,84.53
