Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
pwc_medium_run4_tfidfMLP1000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1.15 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,70.17 ± 1.10,70.94 ± 0.94,64.94 ± 0.90,70.94 ± 0.94
pwc_medium_run4_tfidfMLP10000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1.15 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,70.17 ± 1.10,70.94 ± 0.94,64.94 ± 0.90,70.94 ± 0.94
pwc_medium_run4_w2v10000_0.001,0.00 ± 0.00,14.78 ± 33.05,56.52 ± 31.80,72.17 ± 4.95,100.00 ± 0.00,100.00 ± 0.00,22.58 ± 10.07,0.00 ± 0.00,27.83 ± 38.23,72.17 ± 4.95,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,72.61 ± 7.15,67.43 ± 7.86,72.61 ± 7.15
pwc_medium_run4_w2v10000_0.005,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.34 ± 4.16,75.34 ± 4.16,4.84 ± 0.59,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.34 ± 4.16,75.34 ± 4.16,100.00 ± 0.00,73.97 ± 2.67,67.64 ± 2.55,73.97 ± 2.67
pwc_medium_run4_w2v10000_0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,15.11 ± 33.78,76.14 ± 1.76,2.73 ± 0.42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,76.14 ± 1.76,76.14 ± 1.76,75.45 ± 2.21,69.21 ± 2.45,75.45 ± 2.21
pwc_medium_run4_w2v10000_0.1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.41 ± 0.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.04 ± 0.36,75.46 ± 0.41,81.04 ± 0.36
pwc_medium_run4_w2v10000_0.1,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.43 ± 0.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.36 ± 0.30,75.97 ± 0.87,81.36 ± 0.30
pwc_medium_run4_w2v10000_0.2,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.23 ± 0.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.79 ± 0.55,76.65 ± 0.68,81.79 ± 0.55
pwc_medium_run4_tfidf100000.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.55 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,74.81 ± 0.94,68.64 ± 0.89,74.81 ± 0.94
Best,0.0,14.78,56.52,72.17,100.0,100.0,22.58,0.0,27.83,72.17,100.0,100.0,100.0,81.79,76.65,81.79
